Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1249194147,mlb,8/14/17,$11K Mon MLB Bunt (Single Entry) ,$35k,94.9,,10054,12941,Tournament,1,0,https://www.fanduel.com/entry/AHUAPHROU
S1249194115,mlb,8/14/17,$1K Toughest Ticket Contest presented by Ford,$35k,94.9,,21369,27465,Tournament,0,0,https://www.fanduel.com/entry/EQPQPZXFW
S1249193638,nfl,8/17/17,$2K Thu NFL Preseason Safety (Single Entry),$60k,23.66,,1126,1176,Tournament,2,0,https://www.fanduel.com/entry/DTPURKQRS
S1248961928,mlb,8/13/17,$10K Sun MLB Sac Fly (3 Entries Max),$35k,119.9,,7723,11764,Tournament,1,0,https://www.fanduel.com/entry/ENYCNSPXW
S1248961929,mlb,8/13/17,$10K Sun MLB Sac Fly (3 Entries Max),$35k,119.9,,7723,11764,Tournament,1,0,https://www.fanduel.com/entry/EJCZDRMRG
S1248961930,mlb,8/13/17,$10K Sun MLB Sac Fly (3 Entries Max),$35k,119.9,,7723,11764,Tournament,1,0,https://www.fanduel.com/entry/EIPBRAATK
S1248961922,mlb,8/13/17,$6K Sun MLB Stolen Base (Single Entry),$35k,119.9,,2383,3529,Tournament,2,0,https://www.fanduel.com/entry/AVRMVDOSU
S1248961919,mlb,8/13/17,$8K Sun MLB Bunt (Single Entry),$35k,119.9,,6196,9411,Tournament,1,0,https://www.fanduel.com/entry/BUUYSGXZS
S1248961915,mlb,8/13/17,$1K Toughest Ticket Contest presented by Ford,$35k,119.9,,12448,21050,Tournament,0,0,https://www.fanduel.com/entry/BRBQHOSOU
S1248622732,mlb,8/12/17,$7K Sat MLB Stolen Base (Single Entry),$35k,131.3,,1877,4115,Tournament,2,0,https://www.fanduel.com/entry/CQSZTUXWN
S1248622695,mlb,8/12/17,$10K Sat MLB Sac Fly (3 Entries Max),$35k,123.1,,6711,11764,Tournament,1,0,https://www.fanduel.com/entry/DNSVSVJGN
S1248622696,mlb,8/12/17,$10K Sat MLB Sac Fly (3 Entries Max),$35k,119.8,,7190,11764,Tournament,1,0,https://www.fanduel.com/entry/DNEYGDXIR
S1248622698,mlb,8/12/17,$10K Sat MLB Sac Fly (3 Entries Max),$35k,145,,3619,11764,Tournament,1,0,https://www.fanduel.com/entry/DMRATMLKV
S1248622643,mlb,8/12/17,$9K Sat MLB Bunt (Single Entry),$35k,131.3,,4949,10588,Tournament,1,0,https://www.fanduel.com/entry/BJOZOENAB
S1248622301,mlb,8/12/17,$10K Sat MLB Stolen Base (Single Entry_ Early Only),$35k,53.6,,5197,5882,Tournament,2,0,https://www.fanduel.com/entry/DUDROTDIB
S1248622223,nfl,8/12/17,$40K Sat NFL Preseason Snap ($40K Guaranteed),$60k,27.6,,9585,11764,Tournament,4,0,https://www.fanduel.com/entry/AKLNQXKUN
S1248293331,mlb,8/11/17,$9K Fri MLB Stolen Base (Single Entry),$35k,148.7,,1519,5294,Tournament,2,0,https://www.fanduel.com/entry/CELFPJMKG
S1248293261,mlb,8/11/17,$10K Fri MLB Sac Fly (3 Entries Max),$35k,104.1,,8270,11764,Tournament,1,0,https://www.fanduel.com/entry/CVODESKUS
S1248293263,mlb,8/11/17,$10K Fri MLB Sac Fly (3 Entries Max),$35k,98.6,,8835,11764,Tournament,1,0,https://www.fanduel.com/entry/CVAFSAYWW
S1248293260,mlb,8/11/17,$10K Fri MLB Sac Fly (3 Entries Max),$35k,153.7,,2701,11764,Tournament,1,0,https://www.fanduel.com/entry/CWCARJWSO
S1248293238,mlb,8/11/17,$10K Fri MLB Bunt (Single Entry),$35k,148.7,,2916,11764,Tournament,1,0,https://www.fanduel.com/entry/CELFUGGPE
S1248293196,mlb,8/11/17,$1K Toughest Ticket Contest presented by Ford,$35k,148.7,,6604,30523,Tournament,0,0,https://www.fanduel.com/entry/DHHZXMMZI
S1248289920,nfl,8/11/17,$500 Fri NFL Preseason Safety (Single Entry),$60k,50.08,,14,294,Tournament,2,8,https://www.fanduel.com/entry/DTBWWZVQW
S1248033288,nfl,9/10/17,$40K Sun NFL Hail Mary (3 Entries Max),$60k,133.24,,388,15686,Tournament,3,8,https://www.fanduel.com/entry/BCQGFECFE
S1248033289,nfl,9/10/17,$40K Sun NFL Hail Mary (3 Entries Max),$60k,98.78,,7274,15686,Tournament,3,0,https://www.fanduel.com/entry/BCCISMQHI
S1248033291,nfl,9/10/17,$40K Sun NFL Hail Mary (3 Entries Max),$60k,93.1,,9100,15686,Tournament,3,0,https://www.fanduel.com/entry/AXHFILNAS
S1248033270,nfl,9/10/17,$100K Sun NFL Spike (Single Entry),$60k,110.74,,5501,23529,Tournament,5,10,https://www.fanduel.com/entry/AZYSTUUPY
S1248033254,nfl,9/10/17,$70K Sun NFL Safety (Single Entry),$60k,110.74,,9032,41176,Tournament,2,4,https://www.fanduel.com/entry/BXMMFIYZE
S1248033227,nfl,9/10/17,$90K Sun NFL Squib (Single Entry),$60k,110.74,,21583,105882,Tournament,1,2,https://www.fanduel.com/entry/CYFQPBPUC
S1248018014,mlb,8/10/17,Tyree don't let us down!,$35k,76.3,,3,3,3 player league,5,0,https://www.fanduel.com/entry/EAONTOCCC
S1248011630,mlb,8/10/17,$5K Thu MLB Sac Fly (3 Entries Max),$35k,107.9,,3961,5882,Tournament,1,0,https://www.fanduel.com/entry/ANQZEZUIW
S1248011631,mlb,8/10/17,$5K Thu MLB Sac Fly (3 Entries Max),$35k,72,,5648,5882,Tournament,1,0,https://www.fanduel.com/entry/ANDBSIILA
S1248011632,mlb,8/10/17,$5K Thu MLB Sac Fly (3 Entries Max),$35k,173.8,,379,5882,Tournament,1,2.5,https://www.fanduel.com/entry/AQWKDANVY
S1248011599,mlb,8/10/17,$8K Thu MLB Stolen Base (Single Entry),$35k,96.2,,3709,4705,Tournament,2,0,https://www.fanduel.com/entry/CLJZNLKQO
S1248011548,mlb,8/10/17,$10K Thu MLB Bunt (Single Entry),$35k,96.2,,9067,11764,Tournament,1,0,https://www.fanduel.com/entry/AOSUETXAK
S1248009539,mlb,8/10/17,$4K Thu MLB Bunt (Single Entry_ Early Only),$35k,76.3,,4654,4705,Tournament,1,0,https://www.fanduel.com/entry/DURPOIELQ
S1247587160,mlb,8/9/17,(FREE) Tyree is still addicted!,$35k,107.5,,1,2,Tournament,0,0,https://www.fanduel.com/entry/ABXBTHNAJ
S1247587036,mlb,8/9/17,Tyree addicted!,$35k,151.5,,1,3,3 player league,5,13.5,https://www.fanduel.com/entry/FBHRRYDXT
S1247538244,mlb,8/9/17,$6K Wed MLB Stolen Base (Single Entry),$35k,58.1,,3100,3529,Tournament,2,0,https://www.fanduel.com/entry/BTFFWFNVI
S1247538229,mlb,8/9/17,$10K Wed MLB Sac Fly (3 Entries Max),$35k,196,,279,11764,Tournament,1,5,https://www.fanduel.com/entry/BYOGSYCZU
S1247538230,mlb,8/9/17,$10K Wed MLB Sac Fly (3 Entries Max),$35k,66.2,,10171,11764,Tournament,1,0,https://www.fanduel.com/entry/BYAJGGRBY
S1247538232,mlb,8/9/17,$10K Wed MLB Sac Fly (3 Entries Max),$35k,43.2,,11460,11764,Tournament,1,0,https://www.fanduel.com/entry/BXMLTPFEC
S1247538206,mlb,8/9/17,$9K Wed MLB Bunt (Single Entry),$35k,58.1,,9553,10588,Tournament,1,0,https://www.fanduel.com/entry/BUUYIRCKS
S1247538019,mlb,8/9/17,$1K Toughest Ticket Contest presented by Ford,$35k,66.2,,31345,35527,Tournament,0,0,https://www.fanduel.com/entry/CARWSBDNA
S1247537601,mlb,8/9/17,$5K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,67,,4174,5043,Tournament,1,0,https://www.fanduel.com/entry/BLSPBRMRE
S1247537603,mlb,8/9/17,$5K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,124.4,,746,5043,Tournament,1,2.5,https://www.fanduel.com/entry/BLERPAATI
S1247537604,mlb,8/9/17,$5K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,105.6,,1637,5043,Tournament,1,0,https://www.fanduel.com/entry/BKQUCIOVM
S1247537572,mlb,8/9/17,$6K Wed MLB Bunt (Single Entry_ Early Only),$35k,107.5,,1634,5703,Tournament,1,0,https://www.fanduel.com/entry/CHCSOKCKK
S1247537233,mlb,8/9/17,$6K Wed MLB Stolen Base (Single Entry_ Very Early Only),$35k,151.5,,297,3529,Tournament,2,4,https://www.fanduel.com/entry/BHZGQZHGG
S1247237718,mlb,8/8/17,MLB Salary Cap 35k Tue Aug 8th (Main),$35k,201,,1,3,3 player league,5,13.5,https://www.fanduel.com/entry/CBFUVQPDI
S1247099995,mlb,8/8/17,$10K Tue MLB Sac Fly (3 Entries Max),$35k,157.1,,3482,11764,Tournament,1,0,https://www.fanduel.com/entry/BJBCKKFQI
S1247099996,mlb,8/8/17,$10K Tue MLB Sac Fly (3 Entries Max),$35k,141.1,,5143,11764,Tournament,1,0,https://www.fanduel.com/entry/BINEXSTSM
S1247099993,mlb,8/8/17,$10K Tue MLB Sac Fly (3 Entries Max),$35k,144.6,,4794,11764,Tournament,1,0,https://www.fanduel.com/entry/BJOZXBROE
