Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1942104080,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,42,100,Tournament,2,2.03,https://www.fanduel.com/entry/APMUFGNJV,
S1942103945,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,45,100,Tournament,2,1.44,https://www.fanduel.com/entry/EQHVTOZWT,
S1942103849,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,42,100,Tournament,2,2.31,https://www.fanduel.com/entry/CVGIWFFHB,
S1942103710,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,44,100,Tournament,2,1.94,https://www.fanduel.com/entry/DZSVQTULN,
S1942103444,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,48,100,Tournament,2,0.72,https://www.fanduel.com/entry/EPTYGXNYX,
S1941468347,nfl,2020/01/04,50/50 Contest ($2 - Top 50% Win) (Sat-Sun),$60k,114.86,,38,100,Tournament,2,3.60,https://www.fanduel.com/entry/EFBWGLRGN,
S1941468149,nfl,2020/01/04,50/50 Contest ($1 - Top 50% Win) (Sat-Sun),$60k,114.86,,47,100,Tournament,1,1.44,https://www.fanduel.com/entry/EDMDUWMIV,
S1941468078,nfl,2020/01/04,50/50 Contest ($1 - Top 50% Win) (Sat-Sun),$60k,114.86,,38,100,Tournament,1,1.80,https://www.fanduel.com/entry/ENCKOYSWB,
S1941468015,nfl,2020/01/04,50/50 Contest ($1 - Top 50% Win) (Sat-Sun),$60k,114.86,,42,100,Tournament,1,1.80,https://www.fanduel.com/entry/BBUOERLTD,
S1941467965,nfl,2020/01/04,50/50 Contest ($1 - Top 50% Win) (Sat-Sun),$60k,114.86,,31,100,Tournament,1,1.80,https://www.fanduel.com/entry/BVOZFYPNH,
S1941467887,nfl,2020/01/04,50/50 Contest ($2 - Top 50% Win) (Sat-Sun),$60k,114.86,,42,100,Tournament,2,3.60,https://www.fanduel.com/entry/DNYYRGLUR,
S1941467803,nfl,2020/01/04,50/50 Contest ($2 - Top 50% Win) (Sat-Sun),$60k,114.86,,40,100,Tournament,2,3.60,https://www.fanduel.com/entry/EJWZRFLGF,
S1941467774,nfl,2020/01/04,50/50 Contest ($2 - Top 50% Win) (Sat-Sun),$60k,114.86,,42,100,Tournament,2,3.60,https://www.fanduel.com/entry/EKKXDLSIF,
S1941467749,nfl,2020/01/04,50/50 Contest ($2 - Top 50% Win) (Sat-Sun),$60k,114.86,,34,100,Tournament,2,3.60,https://www.fanduel.com/entry/EEABHRRFH,
S1941467731,nfl,2020/01/04,50/50 Contest ($2 - Top 50% Win) (Sat-Sun),$60k,114.86,,42,100,Tournament,2,3.60,https://www.fanduel.com/entry/AJPVQHBKF,
S1941467668,nfl,2020/01/04,50/50 Contest ($5 - Top 50% Win) (Sat-Sun),$60k,114.86,,50,100,Tournament,5,9.00,https://www.fanduel.com/entry/AMHJBMQAV,
S1941467613,nfl,2020/01/04,50/50 Contest ($5 - Top 50% Win) (Sat-Sun),$60k,114.86,,46,100,Tournament,5,9.00,https://www.fanduel.com/entry/AUHXJZRQJ,
S1941467579,nfl,2020/01/04,50/50 Contest ($5 - Top 50% Win) (Sat-Sun),$60k,114.86,,49,100,Tournament,5,9.00,https://www.fanduel.com/entry/CUSLDJKRL,
S1941467552,nfl,2020/01/04,50/50 Contest ($5 - Top 50% Win) (Sat-Sun),$60k,114.86,,56,100,Tournament,5,0,https://www.fanduel.com/entry/CLCEJHEEF,
S1941467530,nfl,2020/01/04,50/50 Contest ($5 - Top 50% Win) (Sat-Sun),$60k,114.86,,41,100,Tournament,5,9.00,https://www.fanduel.com/entry/CSOVERPAB,
S1941467503,nfl,2020/01/04,50/50 Contest ($5 - Top 50% Win) (Sat-Sun),$60k,114.86,,48,100,Tournament,5,9.00,https://www.fanduel.com/entry/BIFKBLPMJ,
S1941467407,nfl,2020/01/04,$30K Sat NFL Snap ($3K to 1st),$60k,121.50,,2440,11904,Tournament,3,6.00,https://www.fanduel.com/entry/DICAILIMV,
S1941467397,nfl,2020/01/04,$30K Sat NFL Snap ($3K to 1st),$60k,116.10,,3504,11904,Tournament,3,0,https://www.fanduel.com/entry/DOMWEMVMZ,
S1941467402,nfl,2020/01/04,$30K Sat NFL Snap ($3K to 1st),$60k,95.12,,8174,11904,Tournament,3,0,https://www.fanduel.com/entry/DJDVHUGIN,
S1941467385,nfl,2020/01/04,$30K Sat NFL Snap ($3K to 1st),$60k,110.50,,4793,11904,Tournament,3,0,https://www.fanduel.com/entry/DMJGFUZVP,
S1941467391,nfl,2020/01/04,$30K Sat NFL Snap ($3K to 1st),$60k,107.18,,5530,11904,Tournament,3,0,https://www.fanduel.com/entry/DPORDVTIR,
S1941467284,nfl,2020/01/04,$20K Sat NFL Scramble (Single Entry),$60k,114.86,,796,2352,Tournament,10,0,https://www.fanduel.com/entry/AOYWNHCLX,
S1941467164,nfl,2020/01/04,$25K Sat NFL Spike (Single Entry),$60k,120.32,,1426,5952,Tournament,5,10.00,https://www.fanduel.com/entry/DMXDSQESB,
S1941466982,nfl,2020/01/04,$15K Sat NFL Squib (Single Entry),$60k,100.08,,10210,17857,Tournament,1,0,https://www.fanduel.com/entry/ATGCKNAWB,
S1941441831,nba,2019/12/31,50/50 League ($1 - Top 50% Win) (Main),$60k,325,,48,100,Tournament,1,0.34,https://www.fanduel.com/entry/CDBQPOECB,
S1941441804,nba,2019/12/31,50/50 League ($1 - Top 50% Win) (Main),$60k,325,,44,100,Tournament,1,0.66,https://www.fanduel.com/entry/CMDZWYYRL,
S1941441777,nba,2019/12/31,50/50 League ($1 - Top 50% Win) (Main),$60k,325,,50,100,Tournament,1,0.15,https://www.fanduel.com/entry/CNFUWHWND,
S1941441749,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,9,20,20 player league,2,1.80,https://www.fanduel.com/entry/BKJAOBCZL,
S1941441708,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,51,100,Tournament,2,0,https://www.fanduel.com/entry/ALTLYWEKB,
S1941441691,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,42,100,Tournament,2,1.91,https://www.fanduel.com/entry/BRHTWUBXL,
S1941441670,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,47,100,Tournament,2,0.85,https://www.fanduel.com/entry/BVBCDIDWN,
S1941441649,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,51,100,Tournament,2,0,https://www.fanduel.com/entry/DKTOHWAWJ,
S1941441633,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,53,100,Tournament,2,0,https://www.fanduel.com/entry/BUNEQUKXH,
S1941441609,nba,2019/12/31,50/50 League ($2 - Top 50% Win) (Main),$60k,325,,51,100,Tournament,2,0,https://www.fanduel.com/entry/ARCMVSMND,
S1941441534,nba,2019/12/31,50/50 League ($5 - Top 50% Win) (Main),$60k,325,,54,100,Tournament,5,0,https://www.fanduel.com/entry/EENZENWIV,
S1941441493,nba,2019/12/31,$4K Tue NBA Swat (3 Entries Max),$60k,263.70,,4417,4761,Tournament,1,0,https://www.fanduel.com/entry/DVLPXDBTL,
