Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1798834924,mlb,9/19/19,$250 MLB Small Sac Fly,$35k,77.1,,277,297,Tournament,1,0,https://www.fanduel.com/entry/DJCNTCZFA
S1798834920,mlb,9/19/19,$250 MLB Small Sac Fly,$35k,91.3,,240,297,Tournament,1,0,https://www.fanduel.com/entry/DOLOPVOJM
S1798834843,mlb,9/19/19,$1500 Thu MLB Stolen Base (Single Entry),$35k,94.3,,778,892,Tournament,2,0,https://www.fanduel.com/entry/EBHGHRCMO
S1798834784,mlb,9/19/19,$2K Thu MLB Bunt (Single Entry),$35k,118.3,,1458,2380,Tournament,1,0,https://www.fanduel.com/entry/EFAOSJHXM
S1798340170,mlb,9/18/19,50/50 Contest ($5 - Top 50% Win) (Main),$35k,120.3,,25,100,Tournament,5,9,https://www.fanduel.com/entry/EHSCTMTQR
S1798340153,mlb,9/18/19,50/50 Contest ($5 - Top 50% Win) (Main),$35k,120.3,,23,100,Tournament,5,9,https://www.fanduel.com/entry/BIEDCHAPP
S1798340137,mlb,9/18/19,50/50 Contest ($5 - Top 50% Win) (Main),$35k,120.3,,23,100,Tournament,5,9,https://www.fanduel.com/entry/BFMPQXTAJ
S1798340058,mlb,9/18/19,50/50 Contest ($5 - Top 50% Win) (Early Only),$35k,147.7,,14,100,Tournament,5,9,https://www.fanduel.com/entry/AEFNURJGF
S1798340015,mlb,9/18/19,50/50 Contest ($5 - Top 50% Win) (Early Only),$35k,147.7,,14,100,Tournament,5,9,https://www.fanduel.com/entry/AUUNXFCUF
S1798339954,mlb,9/18/19,50/50 Contest ($5 - Top 50% Win) (Early Only),$35k,147.7,,17,100,Tournament,5,9,https://www.fanduel.com/entry/AEFNUVCEV
S1798108806,mlb,9/18/19,$3K Wed MLB Stolen Base (Single Entry),$35k,120.3,,678,1785,Tournament,2,0,https://www.fanduel.com/entry/EVBRHBTYV
S1798108747,mlb,9/18/19,$2K Wed MLB Sac Fly (3 Entries Max),$35k,91.6,,1840,2380,Tournament,1,0,https://www.fanduel.com/entry/BRGLSEXRT
S1798108749,mlb,9/18/19,$2K Wed MLB Sac Fly (3 Entries Max),$35k,131.6,,622,2380,Tournament,1,0,https://www.fanduel.com/entry/BUZUCXDCR
S1798108750,mlb,9/18/19,$2K Wed MLB Sac Fly (3 Entries Max),$35k,91.6,,1840,2380,Tournament,1,0,https://www.fanduel.com/entry/BULWQFREV
S1798108630,mlb,9/18/19,$3K Wed MLB Bunt (Single Entry),$35k,201.8,,18,3571,Tournament,1,12,https://www.fanduel.com/entry/CEQAWZJPX
S1798106317,mlb,9/18/19,$250 MLB Small Sac Fly,$35k,62.5,,282,297,Tournament,1,0,https://www.fanduel.com/entry/BPCVZRKSV
S1798106318,mlb,9/18/19,$250 MLB Small Sac Fly,$35k,130.8,,77,297,Tournament,1,0,https://www.fanduel.com/entry/BKHSPQHMF
S1798106313,mlb,9/18/19,$250 MLB Small Sac Fly,$35k,100.1,,167,297,Tournament,1,0,https://www.fanduel.com/entry/BPQTMIWQR
S1798106222,mlb,9/18/19,$2500 Wed MLB Bunt (Single Entry),$35k,50,,2900,2976,Tournament,1,0,https://www.fanduel.com/entry/BVNRVSXSZ
S1798106134,mlb,9/18/19,$2K Wed MLB Stolen Base (Single Entry),$35k,147.7,,103,1190,Tournament,2,5,https://www.fanduel.com/entry/EOQVRAWSN
S1797697396,nfl,9/22/19,The pats D takes drewski to paydirt!,$60k,141.42,,4,15,Tournament,10,0,https://www.fanduel.com/entry/DPNKBYIMP
S1797605603,mlb,9/17/19,50/50 Contest ($5 - Top 50% Win) (Main),$35k,149,,12,100,Tournament,5,9,https://www.fanduel.com/entry/DAAECRGZH
S1797605538,mlb,9/17/19,50/50 Contest ($5 - Top 50% Win) (Main),$35k,149,,17,100,Tournament,5,9,https://www.fanduel.com/entry/ERIIPFDFL
S1797605506,mlb,9/17/19,50/50 Contest ($5 - Top 50% Win) (Main),$35k,149,,21,100,Tournament,5,9,https://www.fanduel.com/entry/AOJRCTSVP
S1797371628,mlb,9/17/19,$4K Tue MLB Stolen Base (Single Entry),$35k,149,,473,2380,Tournament,2,4,https://www.fanduel.com/entry/DIOQNXKOA
S1797371570,mlb,9/17/19,$2500 Tue MLB Sac Fly (3 Entries Max),$35k,123.6,,1402,2976,Tournament,1,0,https://www.fanduel.com/entry/DMHYYPPYY
S1797371572,mlb,9/17/19,$2500 Tue MLB Sac Fly (3 Entries Max),$35k,116.3,,1771,2976,Tournament,1,0,https://www.fanduel.com/entry/DQBHJHVJW
S1797371573,mlb,9/17/19,$2500 Tue MLB Sac Fly (3 Entries Max),$35k,158.2,,383,2976,Tournament,1,2.5,https://www.fanduel.com/entry/DPNJWQJMA
S1797371491,mlb,9/17/19,$4K Tue MLB Bunt (Single Entry),$35k,128.7,,1936,4761,Tournament,1,0,https://www.fanduel.com/entry/AOJRTNZQA
S1796846302,nfl,9/22/19,50/50 Contest ($10 - Top 50% Win) (Main),$60k,141.42,,33,100,Tournament,10,18,https://www.fanduel.com/entry/AGJNITLNO
S1796845911,nfl,9/22/19,50/50 Contest ($5 - Top 50% Win) (Main),$60k,141.42,,37,100,Tournament,5,9,https://www.fanduel.com/entry/AEFXOYKBC
S1796845817,nfl,9/22/19,50/50 Contest ($5 - Top 50% Win) (Main),$60k,141.42,,30,100,Tournament,5,9,https://www.fanduel.com/entry/CAJFLFXQQ
S1796845642,nfl,9/22/19,50/50 Contest ($10 - Top 50% Win) (Main),$60k,141.42,,34,100,Tournament,10,18,https://www.fanduel.com/entry/DYCFUCSUE
S1796845501,nfl,9/22/19,50/50 Contest ($10 - Top 50% Win) (Main),$60k,141.42,,34,100,Tournament,10,18,https://www.fanduel.com/entry/COUPPUMGI
S1796843521,nfl,9/22/19,50/50 Contest ($5 - Top 50% Win) (Main),$60k,141.42,,27,100,Tournament,5,9,https://www.fanduel.com/entry/DEVSHCBIQ
