Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1204936442,mlb,4/22/17,$10K Sat MLB Sac Fly (3 Entries Max),$35k,125.8,,6242,11764,Tournament,1,0,https://www.fanduel.com/entry/FGCQONLZK
S1204936436,mlb,4/22/17,$10K Sat MLB Sac Fly (3 Entries Max),$35k,137.4,,4672,11764,Tournament,1,0,https://www.fanduel.com/entry/FCXFQMSMI
S1204936319,mlb,4/22/17,$8K Sat MLB Bunt (Single Entry),$35k,130.9,,4494,9411,Tournament,1,0,https://www.fanduel.com/entry/CJUBVXKFW
S1204935153,mlb,4/22/17,$5K Sat MLB Sac Fly (3 Entries Max_ Early Only),$35k,74.9,,5796,5882,Tournament,1,0,https://www.fanduel.com/entry/DBKWYQLHG
S1204935154,mlb,4/22/17,$5K Sat MLB Sac Fly (3 Entries Max_ Early Only),$35k,137,,2794,5882,Tournament,1,0,https://www.fanduel.com/entry/CWPTOPIAQ
S1204935155,mlb,4/22/17,$5K Sat MLB Sac Fly (3 Entries Max_ Early Only),$35k,170.3,,931,5882,Tournament,1,2.5,https://www.fanduel.com/entry/CWBWBXWCU
S1204935124,mlb,4/22/17,$10K Sat MLB Bunt (Single Entry_ Early Only),$35k,170.3,,1830,11118,Tournament,1,2,https://www.fanduel.com/entry/DHHVIAMJO
S1204281026,mlb,4/21/17,Jimmy is on top of the mountain,$35k,156,,2,8,8 player league,5,11,https://www.fanduel.com/entry/FATPSCISO
S1204221254,nba,4/21/17,$22K Fri NBA Dribbler (Single Entry),$60k,262.3,,4037,25882,Tournament,1,2,https://www.fanduel.com/entry/CZVENBGJZ
S1204221226,nba,4/21/17,$15K Fri NBA Block (Single Entry),$60k,262.3,,1351,8823,Tournament,2,4,https://www.fanduel.com/entry/BYAFEDKRZ
S1204221204,nba,4/21/17,$20K Fri NBA Swat (3 Entries Max),$60k,250.2,,6755,23529,Tournament,1,0,https://www.fanduel.com/entry/CYTJNWBMX
S1204221205,nba,4/21/17,$20K Fri NBA Swat (3 Entries Max),$60k,262.3,,3727,23529,Tournament,1,2,https://www.fanduel.com/entry/CYFMBEPPB
S1204221207,nba,4/21/17,$20K Fri NBA Swat (3 Entries Max),$60k,262.3,,3727,23529,Tournament,1,2,https://www.fanduel.com/entry/CXROONDRF
S1204221173,nba,4/21/17,NBA Fantasy Playoffs presented by Bud Light ,$60k,262.3,,7212,46554,Tournament,0,0,https://www.fanduel.com/entry/BVIRTFHYP
S1204220471,mlb,4/21/17,$9K Fri MLB Single (Single Entry),$35k,156,,337,2117,Tournament,5,10,https://www.fanduel.com/entry/AFQFSRVLZ
S1204220463,mlb,4/21/17,$9K Fri MLB Stolen Base (Single Entry),$35k,156,,707,5294,Tournament,2,4,https://www.fanduel.com/entry/EVYMJTYVJ
S1204220449,mlb,4/21/17,$10K Fri MLB Sac Fly (3 Entries Max),$35k,101.9,,6726,11764,Tournament,1,0,https://www.fanduel.com/entry/AKLJCSYSP
S1204220447,mlb,4/21/17,$10K Fri MLB Sac Fly (3 Entries Max),$35k,107.9,,5956,11764,Tournament,1,0,https://www.fanduel.com/entry/AFCIGHVLJ
S1204220448,mlb,4/21/17,$10K Fri MLB Sac Fly (3 Entries Max),$35k,148.2,,1823,11764,Tournament,1,2,https://www.fanduel.com/entry/AEOKTQJNN
S1204220415,mlb,4/21/17,$12K Fri MLB Bunt (Single Entry),$35k,156,,1486,14117,Tournament,1,2.5,https://www.fanduel.com/entry/APUJZSZUH
S1203598330,mlb,4/20/17,Matty balls and then judge reign supreme!,$35k,109.7,,2,7,7 player league,5,0,https://www.fanduel.com/entry/ELUIVNGOI
S1203532998,mlb,4/20/17,MLB Head-to-head (Early Only),$35k,109.6,129.3,2,2,pdelia2t,5,0,https://www.fanduel.com/entry/BMUGQKBQR
S1203455964,nba,4/20/17,$16K Thu NBA Block (Single Entry),$60k,208,,8639,9411,Tournament,2,0,https://www.fanduel.com/entry/DMCZRPIEW
S1203455951,nba,4/20/17,$25K Thu NBA Dribbler (Single Entry),$60k,208,,26854,29407,Tournament,1,0,https://www.fanduel.com/entry/ABJATZMZU
S1203455897,nba,4/20/17,$20K Thu NBA Swat (3 Entries Max),$60k,277.7,,4757,23529,Tournament,1,0,https://www.fanduel.com/entry/ARYAWUSLA
S1203455894,nba,4/20/17,$20K Thu NBA Swat (3 Entries Max),$60k,238.1,,15386,23529,Tournament,1,0,https://www.fanduel.com/entry/ASZVWDQGS
S1203455895,nba,4/20/17,$20K Thu NBA Swat (3 Entries Max),$60k,218.9,,19610,23529,Tournament,1,0,https://www.fanduel.com/entry/ASLYJMEIW
S1203455843,nba,4/20/17,NBA Fantasy Playoffs presented by Bud Light ,$60k,208,,48244,53683,Tournament,0,0,https://www.fanduel.com/entry/DXWWKFRKW
S1203440249,mlb,4/20/17,$10K Thu MLB Sac Fly (3 Entries Max),$35k,110.7,,3322,11764,Tournament,1,0,https://www.fanduel.com/entry/BYOCOCAQX
S1203440250,mlb,4/20/17,$10K Thu MLB Sac Fly (3 Entries Max),$35k,122.2,,2072,11764,Tournament,1,2,https://www.fanduel.com/entry/BYAFBKOTB
S1203440251,mlb,4/20/17,$10K Thu MLB Sac Fly (3 Entries Max),$35k,124.3,,1832,11764,Tournament,1,2,https://www.fanduel.com/entry/BXMHOTCVF
S1203440235,mlb,4/20/17,$8K Thu MLB Single (Single Entry),$35k,109.7,,466,1882,Tournament,5,0,https://www.fanduel.com/entry/BVIRQBHDV
S1203440225,mlb,4/20/17,$8K Thu MLB Stolen Base (Single Entry),$35k,109.7,,1216,4705,Tournament,2,0,https://www.fanduel.com/entry/DOUMASBGX
S1203440159,mlb,4/20/17,$12K Thu MLB Bunt (Single Entry),$35k,109.7,,4190,14117,Tournament,1,0,https://www.fanduel.com/entry/DOUMBDGCT
S1203438720,mlb,4/20/17,$5K Thu MLB Sac Fly (3 Entries Max_ Early Only),$35k,115.9,,3309,5882,Tournament,1,0,https://www.fanduel.com/entry/FEMXXUBAT
S1203438724,mlb,4/20/17,$5K Thu MLB Sac Fly (3 Entries Max_ Early Only),$35k,106.6,,4029,5882,Tournament,1,0,https://www.fanduel.com/entry/FDZALCPCX
S1203438725,mlb,4/20/17,$5K Thu MLB Sac Fly (3 Entries Max_ Early Only),$35k,99.7,,4489,5882,Tournament,1,0,https://www.fanduel.com/entry/FCXFLTRHF
S1203438632,mlb,4/20/17,$8K Thu MLB Bunt (Single Entry_ Early Only),$35k,109.6,,6162,9411,Tournament,1,0,https://www.fanduel.com/entry/BHZCHNWPR
S1203049415,mlb,4/19/17,$100K Wed MLB Squeeze ($10K to 1st),$35k,115.1,,18201,39215,Tournament,3,0,https://www.fanduel.com/entry/DURKJBZTD
S1203031132,nba,4/19/17,"$10K Wed NBA Assist (Single Entry)	",$60k,326.1,,307,2352,Tournament,5,12.5,https://www.fanduel.com/entry/CIEJRBLWN
S1202981079,mlb,4/19/17,$8K Wed MLB Single (Single Entry),$35k,162.5,,165,1882,Tournament,5,12.5,https://www.fanduel.com/entry/ASLXHYGPA
S1202776243,mlb,4/19/17,One in a row for turtle,$35k,129.1,,2,5,5 player league,5,0,https://www.fanduel.com/entry/EPNQPLFFL
