Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1022558568,nfl,2016/09/18,$300K 5-Week NFL Survivor ($300K Guaranteed_ $25K Paid Out Weekly) ,$60k,141.52,,3922,163403,Tournament,2,2.00,https://www.fanduel.com/entry/DWXMLJKGT,
S1022376907,nfl,2016/09/18,Week 2 1pm only,$60k,124.32,,2,5,5 player league,5,0,https://www.fanduel.com/entry/ENMMAVVQO,
S1022277317,mlb,2016/09/18,$3K Sun MLB Bunt (Single Entry),$35k,104.90,,828,3468,Tournament,1,0,https://www.fanduel.com/entry/BNYNCZMKP,
S1021455335,mlb,2016/09/17,$5K Sat MLB Sac Fly ($5K Guaranteed_ Early Only),$35k,62.40,,5490,5882,Tournament,1,0,https://www.fanduel.com/entry/DUTWGQYVW,
S1021455136,mlb,2016/09/17,50/50 Contest ($10 - Top 50% Win) (Early Only),$35k,62.40,,93,100,Tournament,10,0,https://www.fanduel.com/entry/BMWRRTCAI,
S1021283105,mlb,2016/09/17,$4K Sat MLB Stolen Base (Single Entry),$35k,103.50,,1064,2310,Tournament,2,0,https://www.fanduel.com/entry/AVFWBUZWL,
S1021282988,mlb,2016/09/17,$6K Sat MLB Bunt (Single Entry),$35k,103.50,,3072,6936,Tournament,1,0,https://www.fanduel.com/entry/DCBFRRKTN,
S1021281652,mlb,2016/09/17,$6K Sat MLB Bunt (Single Entry_ Early Only),$35k,134,,2008,6531,Tournament,1,0,https://www.fanduel.com/entry/AFSQYTXCT,
S1020734390,nfl,2016/09/18,$300K 5-Week NFL Survivor ($300K Guaranteed_ $25K Paid Out Weekly) ,$60k,141.52,,3922,163403,Tournament,2,2.00,https://www.fanduel.com/entry/EKUYWUSET,
S1020724747,mlb,2016/09/16,50/50 Contest ($10 - Top 50% Win) (Main),$35k,153.70,,25,100,Tournament,10,18.00,https://www.fanduel.com/entry/FDNPDTLGT,
S1020705490,nfl,2016/09/18,NFL Week 2 Raffduel,$60k,117.82,,5,20,20 player league,10,0,https://www.fanduel.com/entry/EFZVYCDST,
S1020614862,mlb,2016/09/16,$8K Fri MLB Stolen Base (Single Entry),$35k,153.70,,913,4624,Tournament,2,0,https://www.fanduel.com/entry/BGLVKMTAB,
S1020614821,mlb,2016/09/16,$9K Fri MLB Bunt (Single Entry),$35k,153.70,,1982,10404,Tournament,1,0,https://www.fanduel.com/entry/AAXNQWRXD,
S1020013264,nfl,2016/09/15,$35K Thu NFL Spike (Single Entry),$60k,119.90,,2052,8092,Tournament,5,0,https://www.fanduel.com/entry/AMDNHSZEK,
S1020012957,nfl,2016/09/15,50/50 Contest ($10 - Top 50% Win) (Thu-Mon),$60k,119.90,,27,100,Tournament,10,18.00,https://www.fanduel.com/entry/CIUSRDDNQ,
S1019862346,mlb,2016/09/15,50/50 Contest ($10 - Top 50% Win) (Main),$35k,125.70,,16,100,Tournament,10,18.00,https://www.fanduel.com/entry/CLMGIUMTS,
S1019862287,mlb,2016/09/15,$8K Thu MLB Stolen Base (Single Entry),$35k,125.70,,1556,4624,Tournament,2,0,https://www.fanduel.com/entry/BLGZLXAVG,
S1019862155,nfl,2016/09/18,$1k Sun NFL Mini Squib (Single Entry),$60k,107.22,,429,1176,Tournament,1,0,https://www.fanduel.com/entry/BRDXVONUU,
S1019860650,nfl,2016/09/18,$1k Sun NFL Mini Squib (Single Entry),$60k,114.12,,379,1176,Tournament,1,0,https://www.fanduel.com/entry/EMKRQOLCA,
S1019537689,mlb,2016/09/15,$10K Thu MLB Bunt (Single Entry),$35k,157.50,,1231,11560,Tournament,1,3.00,https://www.fanduel.com/entry/AUEBZGYKZ,
S1019188368,nfl,2016/09/18,(FREE) C'MON Man GoFolk urself (NFL Week 2),$60k,123.30,,2,5,Tournament,0,0,https://www.fanduel.com/entry/EYSMFAWVQ,
S1019186168,nfl,2016/09/18,My Loser Friends (NFL Week 2),$60k,94.70,,5,7,7 player league,5,0,https://www.fanduel.com/entry/CPFNZGYSH,
S1018911622,mlb,2016/09/14,50/50 Contest ($10 - Top 50% Win) (Main),$35k,146.40,,46,100,Tournament,10,18.00,https://www.fanduel.com/entry/CJWNESHTN,
S1018911534,mlb,2016/09/14,MLB 100 player league (Early Only),$35k,,,0,,Cancelled,10,0,https://www.fanduel.com/entry/AYZEOUWHZ, voided
S1018911485,mlb,2016/09/14,$5K Wed MLB Stolen Base (Single Entry),$35k,146.40,,672,2890,Tournament,2,0,https://www.fanduel.com/entry/BFKAKLEMH,
S1018641436,mlb,2016/09/14,$7K Wed MLB Bunt (Single Entry) ,$35k,146.40,,1695,8092,Tournament,1,0,https://www.fanduel.com/entry/BWMYEQXBN,
S1018639623,mlb,2016/09/14,$5K Wed MLB Bunt (Single Entry_ Early Only),$35k,84.90,,2729,5780,Tournament,1,0,https://www.fanduel.com/entry/EZUGHWKBB,
S1018523303,nfl,2016/09/18,$10K Sun NFL Squib (Single Entry_ 1pm Only),$60k,124.32,,1918,11764,Tournament,1,3.00,https://www.fanduel.com/entry/AEQWCWLWV,
S1018495876,mlb,2016/09/13,$250 MLB Mini Bunt,$35k,108.10,,184,294,Tournament,1,0,https://www.fanduel.com/entry/DIMCGUVON,
S1018291146,mlb,2016/09/13,50/50 Contest ($10 - Top 50% Win) (Main),$35k,150.90,,23,100,Tournament,10,18.00,https://www.fanduel.com/entry/BRRVLRMMI,
S1018264431,nfl,2016/09/15,$40K Thu NFL Safety (Single Entry),$60k,115.34,,8349,23121,Tournament,2,0,https://www.fanduel.com/entry/BTVKJZFYN,
S1018236705,mlb,2016/09/13,50/50 Contest ($10 - Top 50% Win) (Main),$35k,150.90,,25,100,Tournament,10,18.00,https://www.fanduel.com/entry/EVNAUKAAZ,
S1018236581,mlb,2016/09/13,$8K Tue MLB Stolen Base (Single Entry),$35k,108.10,,2732,4624,Tournament,2,0,https://www.fanduel.com/entry/DALNXAFLH,
S1018220020,nfl,2016/09/18,$100K 4-Week NFL Survivor ($10K to 1st) ,$60k,141.52,,125,6009,Tournament,12,0,https://www.fanduel.com/entry/DFUPDIQAZ,
