Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1564284279,nfl,10/21/18,Covers Championship Series,$60k,119,,7027,16095,Tournament,0,0,https://www.fanduel.com/entry/DFEZSNQAS
S1563136984,nfl,10/21/18,50/50 Contest ($25 - Top 50% Win) (Main),$60k,112.18,,78,100,Tournament,25,0,https://www.fanduel.com/entry/ALAAGCJWE
S1563136851,nfl,10/21/18,50/50 Contest ($25 - Top 50% Win) (Main),$60k,112.18,,72,100,Tournament,25,0,https://www.fanduel.com/entry/CAEOTURMI
S1563085548,nfl,10/21/18,$50K Sun NFL Scramble (Single Entry),$60k,112.18,,3607,5882,Tournament,10,0,https://www.fanduel.com/entry/EFYEHZKTG
S1561321196,cfb,10/20/18,$10K Sat CFB Fight Song,$60k,137.12,,182,1621,Tournament,7,15,https://www.fanduel.com/entry/DMRPGNGOD
S1561123226,nba,10/19/18,$400K Fri NBA Clutch Shot ($100K to 1st),$60k,273.1,,36070,119048,Tournament,4,0,https://www.fanduel.com/entry/BWLFZIXXI
S1561122307,nba,10/19/18,$3K NBA Fantasy Tip-Off Free Play,$60k,273.1,,12580,53703,Tournament,0,0,https://www.fanduel.com/entry/FDZTZBSNY
S1561122042,nba,10/19/18,$22K Fri NBA Dribbler (Single Entry),$60k,320.8,,106,26190,Tournament,1,15,https://www.fanduel.com/entry/BFIIKLEIS
S1559751438,nfl,10/18/18,$12K Thu NFL Squib (Single Entry),$60k,76.33,,371,14285,Tournament,1,5,https://www.fanduel.com/entry/DCNKYPSPB
S1559475895,cfb,10/20/18,$2K Sat CFB Flea Flicker (Single Entry),$60k,91.32,,369,1067,Tournament,2,0,https://www.fanduel.com/entry/EBQVXQQUU
S1558953906,cfb,10/20/18,$1K Sat CFB Helmet Sticker (Single Entry),$60k,137.12,,77,1190,Tournament,1,3,https://www.fanduel.com/entry/DXXNLJKZK
S1558754626,nba,10/18/18,$10K Thu NBA Swat (3 Entries Max),$60k,256.5,,9340,11904,Tournament,1,0,https://www.fanduel.com/entry/BOKQMAEVF
S1558754627,nba,10/18/18,$10K Thu NBA Swat (3 Entries Max),$60k,295.5,,3064,11904,Tournament,1,0,https://www.fanduel.com/entry/BNWSZISXJ
S1558754628,nba,10/18/18,$10K Thu NBA Swat (3 Entries Max),$60k,270.8,,7071,11904,Tournament,1,0,https://www.fanduel.com/entry/BNIVMRGZN
S1558754521,nba,10/18/18,$12K Thu NBA Block (Single Entry),$60k,259.2,,5332,7142,Tournament,2,0,https://www.fanduel.com/entry/FFBNSLDID
S1558754450,nba,10/18/18,$20K Thu NBA Dribbler (Single Entry),$60k,291.4,,6803,23809,Tournament,1,0,https://www.fanduel.com/entry/ELHCRWQHB
S1558744905,nba,10/18/18,$3K NBA Fantasy Tip-Off Free Play,$60k,259.2,,46853,74014,Tournament,0,0,https://www.fanduel.com/entry/CVATFKIPR
S1558059945,nfl,10/21/18,$45K Sun NFL Pardon My Take Leaderboard Series (Single Entry),$60k,112.18,,3171,5294,Tournament,10,0,https://www.fanduel.com/entry/CDJYYXGHT
S1558059848,nfl,10/21/18,$1K NFL Free Play presented by RotoQL,$60k,123.9,,42582,130039,Tournament,0,0,https://www.fanduel.com/entry/DPJCOOUKV
S1558059795,nfl,10/21/18,$1K NFL Free Play presented by Dash,$60k,138.52,,13379,109780,Tournament,0,0,https://www.fanduel.com/entry/DTCKZDGXD
S1558055524,cfb,10/20/18,$5K Sat CFB Fight Song,$60k,64.8,,1325,1488,Tournament,4,0,https://www.fanduel.com/entry/AUQGEVBPH
