Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1688306979,nba,2/27/19,$16K Wed NBA Block (Single Entry),$60k,278.5,,5728,9523,Tournament,2,0,https://www.fanduel.com/entry/DXANVFKUV
S1688306912,nba,2/27/19,$17K Wed NBA Dribbler (Single Entry),$60k,278.5,,11981,20238,Tournament,1,0,https://www.fanduel.com/entry/CPIQCXOAN
S1687835269,nba,2/26/19,$13K Tue NBA Block (Single Entry),$60k,252.9,,2717,7738,Tournament,2,0,https://www.fanduel.com/entry/CXJENZSMM
S1687835260,nba,2/26/19,$8K Tue NBA Swat (3 Entries Max),$60k,242.7,,4611,9523,Tournament,1,0,https://www.fanduel.com/entry/DSFKNTKKQ
S1687835261,nba,2/26/19,$8K Tue NBA Swat (3 Entries Max),$60k,252.9,,3453,9523,Tournament,1,0,https://www.fanduel.com/entry/DRRNBBYMU
S1687835259,nba,2/26/19,$8K Tue NBA Swat (3 Entries Max),$60k,223.7,,6807,9523,Tournament,1,0,https://www.fanduel.com/entry/AGXODXIDO
S1687835222,nba,2/26/19,$15K Tue NBA Dribbler (Single Entry),$60k,295.8,,645,17857,Tournament,1,3,https://www.fanduel.com/entry/ECJOUYHRO
S1687473614,nba,2/25/19,$15K Mon NBA Block (Single Entry),$60k,309.5,,553,8928,Tournament,2,5,https://www.fanduel.com/entry/ASRKKEZYO
S1687473542,nba,2/25/19,$10K Mon NBA Swat (3 Entries Max),$60k,246.3,,10766,11904,Tournament,1,0,https://www.fanduel.com/entry/DYQFXMFZU
S1687473546,nba,2/25/19,$10K Mon NBA Swat (3 Entries Max),$60k,258.7,,9362,11904,Tournament,1,0,https://www.fanduel.com/entry/DXOKYDIEC
S1687473549,nba,2/25/19,$10K Mon NBA Swat (3 Entries Max),$60k,294.8,,2370,11904,Tournament,1,2,https://www.fanduel.com/entry/DXANLLWGG
S1687473328,nba,2/25/19,$15K Mon NBA Dribbler (Single Entry),$60k,283.8,,6155,17857,Tournament,1,0,https://www.fanduel.com/entry/ARBRYEQFA
S1685496320,nba,2/22/19,$14K Fri NBA Block (Single Entry),$60k,302.8,,4557,8333,Tournament,2,0,https://www.fanduel.com/entry/AXMNWCPOI
S1685496294,nba,2/22/19,$9K Fri NBA Swat (3 Entries Max),$60k,302.8,,5867,10714,Tournament,1,0,https://www.fanduel.com/entry/CYKZGWVTO
S1685496295,nba,2/22/19,$9K Fri NBA Swat (3 Entries Max),$60k,302.8,,5867,10714,Tournament,1,0,https://www.fanduel.com/entry/CXXBUFJVS
S1685496297,nba,2/22/19,$9K Fri NBA Swat (3 Entries Max),$60k,302.8,,5867,10714,Tournament,1,0,https://www.fanduel.com/entry/CSOAXMURG
S1685496141,nba,2/22/19,$15K Fri NBA Dribbler (Single Entry),$60k,302.8,,8646,17857,Tournament,1,0,https://www.fanduel.com/entry/BRUWJTTJC
S1685370193,nba,2/21/19,50/50 League ($10 - Top 50% Win) (Main),$60k,269.3,,96,100,Tournament,10,0,https://www.fanduel.com/entry/ECJOHLUSW
S1685363962,nba,2/21/19,50/50 League ($10 - Top 50% Win) (Main),$60k,269.3,,92,100,Tournament,10,0,https://www.fanduel.com/entry/BEZESFRDI
S1685235588,nba,2/21/19,$500 Rookie Weekly FDP Loyalty Free Play (3 of 4),$60k,250.4,,5475,6750,Tournament,0,0,https://www.fanduel.com/entry/AEGAMCGAE
S1684592221,nba,2/21/19,$17K Thu NBA Block (Single Entry),$60k,295.3,,2473,10119,Tournament,2,0,https://www.fanduel.com/entry/EGCWNORWW
S1684592196,nba,2/21/19,$10K Thu NBA Swat (3 Entries Max),$60k,263.5,,8676,11904,Tournament,1,0,https://www.fanduel.com/entry/ELLXKHHBI
S1684592198,nba,2/21/19,$10K Thu NBA Swat (3 Entries Max),$60k,288.9,,4182,11904,Tournament,1,0,https://www.fanduel.com/entry/EKXZXPVDM
S1684592200,nba,2/21/19,$10K Thu NBA Swat (3 Entries Max),$60k,298.4,,2522,11904,Tournament,1,0,https://www.fanduel.com/entry/EKKCKYJFQ
