Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1370462608,nfl,12/31/17,My Loser Friends (NFL Contest 14),$60k,91.1,,4,5,5 player league,2,0,https://www.fanduel.com/entry/BZDKSHTMO
S1370462396,nfl,12/31/17,First World Problem (NFL Contest 17),$60k,74.76,,9,9,9 player league,5,0,https://www.fanduel.com/entry/DJMVWKCRY
S1370365731,nba,12/27/17,$17K Wed NBA Block (Single Entry),$60k,279.4,,5181,10119,Tournament,2,0,https://www.fanduel.com/entry/EYRLBPHVF
S1370365709,nba,12/27/17,$10K Wed NBA Swat (3 Entries Max),$60k,300.5,,3091,11904,Tournament,1,0,https://www.fanduel.com/entry/ALARVSTCL
S1370365711,nba,12/27/17,$10K Wed NBA Swat (3 Entries Max),$60k,310.4,,1936,11904,Tournament,1,2,https://www.fanduel.com/entry/AGFOLRPVV
S1370365712,nba,12/27/17,$10K Wed NBA Swat (3 Entries Max),$60k,279.4,,6154,11904,Tournament,1,0,https://www.fanduel.com/entry/AFRQZADXZ
S1370365662,nba,12/27/17,$20K Wed NBA Dribbler (Single Entry),$60k,279.4,,11074,23809,Tournament,1,0,https://www.fanduel.com/entry/ECTKCBNFN
S1369520672,nba,12/26/17,$3K Tue NBA Starting 5 Dribbler (Single Entry),$60k,130.2,,3326,3571,Tournament,1,0,https://www.fanduel.com/entry/DLQMIZQFO
S1369339303,nba,12/26/17,$20K Tue NBA Block (Single Entry),$60k,219.8,,10896,11904,Tournament,2,0,https://www.fanduel.com/entry/BOZGMZIOH
S1369339232,nba,12/26/17,$10K Tue NBA Swat (3 Entries Max),$60k,219.8,,10949,11904,Tournament,1,0,https://www.fanduel.com/entry/APVUPVZHJ
S1369339233,nba,12/26/17,$10K Tue NBA Swat (3 Entries Max),$60k,219.8,,10949,11904,Tournament,1,0,https://www.fanduel.com/entry/APHXDENJN
S1369339235,nba,12/26/17,$10K Tue NBA Swat (3 Entries Max),$60k,219.8,,10949,11904,Tournament,1,0,https://www.fanduel.com/entry/AKMTTDKCX
