Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1473574606,mlb,5/31/18,$3K Thu MLB Sac Fly (3 Entries Max),$35k,48,,3490,3571,Tournament,1,0,https://www.fanduel.com/entry/BJPSMCAJJ
S1473574490,mlb,5/31/18,$8K Thu MLB Bunt (Single Entry_ Next Fan Up Challenge),$35k,169.3,,1101,9523,Tournament,1,2,https://www.fanduel.com/entry/DOHMDGPPB
S1473107849,mlb,5/30/18,$8K Wed MLB Stolen Base (Single Entry),$35k,144.1,,630,4761,Tournament,2,4,https://www.fanduel.com/entry/CLKQOWPZV
S1473107834,mlb,5/30/18,$5K Wed MLB Sac Fly (3 Entries Max),$35k,111.3,,2829,5952,Tournament,1,0,https://www.fanduel.com/entry/CPRWMGHIP
S1473107835,mlb,5/30/18,$5K Wed MLB Sac Fly (3 Entries Max),$35k,107.5,,3096,5952,Tournament,1,0,https://www.fanduel.com/entry/CPDYZOVKT
S1473107836,mlb,5/30/18,$5K Wed MLB Sac Fly (3 Entries Max),$35k,120.2,,2264,5952,Tournament,1,0,https://www.fanduel.com/entry/COQBMXJMX
S1473107794,mlb,5/30/18,$8K Wed MLB Bunt (Single Entry_ Next Fan Up Challenge),$35k,144.9,,1116,9523,Tournament,1,2,https://www.fanduel.com/entry/CUMZWHKPF
S1473107604,mlb,5/30/18,$3K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,136.1,,1761,3571,Tournament,1,0,https://www.fanduel.com/entry/BTTVRSZWL
S1473107605,mlb,5/30/18,$3K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,151.1,,1080,3571,Tournament,1,0,https://www.fanduel.com/entry/BTFYFBNYP
S1473107600,mlb,5/30/18,$3K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,160.8,,698,3571,Tournament,1,2,https://www.fanduel.com/entry/BUVQRBXSD
S1473107588,mlb,5/30/18,$5K Wed MLB Bunt (Single Entry_ Early Only),$35k,98.7,,5310,5952,Tournament,1,0,https://www.fanduel.com/entry/BVXLQKVNV
S1472551753,nba,5/28/18,$1K Mon NBA Assist (Single Entry_ GS @ HOU),$60k,265.11,,205,238,Tournament,5,0,https://www.fanduel.com/entry/EDUQSRMKX
S1472546268,mlb,5/29/18,$9K Tue MLB Stolen Base (Single Entry),$35k,136,,1943,5357,Tournament,2,0,https://www.fanduel.com/entry/BJBUOYJJF
S1472546228,mlb,5/29/18,$5K Tue MLB Sac Fly (3 Entries Max),$35k,107.2,,4355,5952,Tournament,1,0,https://www.fanduel.com/entry/DRMWQJZDZ
S1472546229,mlb,5/29/18,$5K Tue MLB Sac Fly (3 Entries Max),$35k,132.3,,2506,5952,Tournament,1,0,https://www.fanduel.com/entry/DQYZDSNGD
S1472546230,mlb,5/29/18,$5K Tue MLB Sac Fly (3 Entries Max),$35k,144.2,,1614,5952,Tournament,1,0,https://www.fanduel.com/entry/DQLBRBBIH
S1472546136,mlb,5/29/18,$10K Tue MLB Bunt (Single Entry_ Next Fan Up Challenge),$35k,136,,4214,11904,Tournament,1,0,https://www.fanduel.com/entry/AIIQFJLMX
S1472404056,mlb,5/28/18,$2K Mon MLB Stolen Base (Single Entry_ Afternoon Only),$35k,123.4,,455,1190,Tournament,2,0,https://www.fanduel.com/entry/AUCNEAKND
S1472223106,mlb,5/28/18,$4K Mon MLB Stolen Base (Single Entry),$35k,153.9,,369,2380,Tournament,2,4,https://www.fanduel.com/entry/AJKLGSOPK
S1472222919,mlb,5/28/18,$3K Mon MLB Sac Fly (3 Entries Max),$35k,153.9,,541,3571,Tournament,1,2,https://www.fanduel.com/entry/ARKZOQSKM
S1472222922,mlb,5/28/18,$3K Mon MLB Sac Fly (3 Entries Max),$35k,153.9,,541,3571,Tournament,1,2,https://www.fanduel.com/entry/AUQKMRLXO
S1472222923,mlb,5/28/18,$3K Mon MLB Sac Fly (3 Entries Max),$35k,153.9,,541,3571,Tournament,1,2,https://www.fanduel.com/entry/AUCMZZZZS
S1472222738,mlb,5/28/18,$7K Mon MLB Bunt (Single Entry_ Next Fan Up Challenge),$35k,153.9,,977,8333,Tournament,1,2.5,https://www.fanduel.com/entry/CVOVTDVSI
S1471863104,mlb,5/28/18,$5K Mon MLB Stolen Base (Single Entry_ Early Only),$35k,106.9,,1588,2976,Tournament,2,0,https://www.fanduel.com/entry/DOHLCDWSC
