Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S457341279,nba,4/6/16,$10K NBA / MLB 3-Day Cross-Sport Survivor Round 3,$60k,272.2,,942,2104,Tournament,0,4,https://www.fanduel.com/entry/AXXPLMJYH
S457341283,nba,4/6/16,$10K NBA / MLB 3-Day Cross-Sport Survivor Round 3,$60k,272.2,,942,2104,Tournament,0,4,https://www.fanduel.com/entry/ASOOOTUTV
S457341285,nba,4/6/16,$10K NBA / MLB 3-Day Cross-Sport Survivor Round 3,$60k,272.2,,942,2104,Tournament,0,4,https://www.fanduel.com/entry/ARMTPKWYD
S457341286,nba,4/6/16,$10K NBA / MLB 3-Day Cross-Sport Survivor Round 3,$60k,272.2,,942,2104,Tournament,0,4,https://www.fanduel.com/entry/AUEHAUENJ
S457336380,nba,4/6/16,$5K NBA / MLB 3-Day Cross-Sport Survivor Round 3,$60k,272.2,,413,1028,Tournament,0,4,https://www.fanduel.com/entry/AFEZRABFV
S457336381,nba,4/6/16,$5K NBA / MLB 3-Day Cross-Sport Survivor Round 3,$60k,272.2,,413,1028,Tournament,0,4,https://www.fanduel.com/entry/AERCEIPHZ
S457336382,nba,4/6/16,$5K NBA / MLB 3-Day Cross-Sport Survivor Round 3,$60k,272.2,,413,1028,Tournament,0,4,https://www.fanduel.com/entry/AIKKPAUSX
S456700163,mlb,4/5/16,50/50 League ($5 - Top 50% Win) (Main),$35k,198,,1,100,Tournament,5,9,https://www.fanduel.com/entry/BVLITPBPL
S456699918,mlb,4/5/16,50/50 League ($5 - Top 50% Win) (Main),$35k,198,,2,100,Tournament,5,9,https://www.fanduel.com/entry/BTVQHKYXH
S456689142,mlb,4/5/16,50/50 League ($5 - Top 50% Win) (Early Only),$35k,106,,54,100,Tournament,5,0,https://www.fanduel.com/entry/DOXDKNXJP
S456613448,nba,4/5/16,$40K Tue NBA Layup ($40K Guaranteed) ,$60k,275,,4673,9150,Tournament,5,0,https://www.fanduel.com/entry/APXBGZSWS
S456613441,nba,4/5/16,$40K Tue NBA Layup ($40K Guaranteed) ,$60k,303.8,,1697,9150,Tournament,5,0,https://www.fanduel.com/entry/CBWEWRGZU
S456613426,nba,4/5/16,$8K Tue NBA Dime (Single Entry),$60k,332.9,,35,880,Tournament,10,40,https://www.fanduel.com/entry/CFPNHJMKS
S456613415,nba,4/5/16,$8K Tue NBA Assist (Single Entry) ,$60k,332.9,,60,1849,Tournament,5,25,https://www.fanduel.com/entry/CPTRODEVU
S456613403,nba,4/5/16,$8K Tue NBA Block (Single Entry),$60k,332.9,,111,4624,Tournament,2,7,https://www.fanduel.com/entry/BJRMHVRVA
S456613369,nba,4/5/16,$10K Tue NBA Dribbler (Single Entry),$60k,332.9,,201,11560,Tournament,1,5,https://www.fanduel.com/entry/DOJFZAHAS
S456613344,nba,4/5/16,50/50 League ($25 - Top 50% Win) (Main),$60k,332.9,,5,100,Tournament,25,45,https://www.fanduel.com/entry/CQVMNMCRM
S456504293,mlb,4/5/16,$8K Tue MLB Stolen Base (Single Entry),$35k,198,,43,3850,Tournament,2,15,https://www.fanduel.com/entry/DVVWICALK
S456414112,mlb,4/4/16,$500 MLB Mini Rally,$35k,105,,74,115,Tournament,5,0,https://www.fanduel.com/entry/EARAFXCPD
S456414026,mlb,4/4/16,$1K MLB Mini Squeeze,$35k,42,,557,574,Tournament,2,0,https://www.fanduel.com/entry/ANTLOTRUV
S456413851,mlb,4/4/16,50/50 League ($5 - Top 50% Win) (Late),$35k,120,,52,100,Tournament,5,0,https://www.fanduel.com/entry/EDWLIYJFT
