Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1808968062,cfb,9/28/19,$3K Sat CFB BIG $2 Double Up (Top 750 Win),$60k,125.34,,653,1724,Tournament,2,4,https://www.fanduel.com/entry/FFTTKCTWL
S1808968064,cfb,9/28/19,$3K Sat CFB BIG $2 Double Up (Top 750 Win),$60k,125.34,,653,1724,Tournament,2,4,https://www.fanduel.com/entry/FFFVXLHYP
S1808968065,cfb,9/28/19,$3K Sat CFB BIG $2 Double Up (Top 750 Win),$60k,125.34,,653,1724,Tournament,2,4,https://www.fanduel.com/entry/FAKSNKERZ
S1808968067,cfb,9/28/19,$3K Sat CFB BIG $2 Double Up (Top 750 Win),$60k,125.34,,653,1724,Tournament,2,4,https://www.fanduel.com/entry/EZWVASSUD
S1808968068,cfb,9/28/19,$3K Sat CFB BIG $2 Double Up (Top 750 Win),$60k,125.34,,653,1724,Tournament,2,4,https://www.fanduel.com/entry/EZIXOBGWH
S1808967072,cfb,9/28/19,$1500 Sat CFB Spring Game ($0.25 to Enter),$60k,95.74,,4132,7185,Tournament,0.25,0,https://www.fanduel.com/entry/BXRIDPKDF
S1808967055,cfb,9/28/19,$1500 Sat CFB Spring Game ($0.25 to Enter),$60k,90.88,,4584,7185,Tournament,0.25,0,https://www.fanduel.com/entry/BWPNEGMHN
S1808967057,cfb,9/28/19,$1500 Sat CFB Spring Game ($0.25 to Enter),$60k,71.68,,6163,7185,Tournament,0.25,0,https://www.fanduel.com/entry/BWBPRPAJR
S1808967069,cfb,9/28/19,$1500 Sat CFB Spring Game ($0.25 to Enter),$60k,94.96,,4201,7185,Tournament,0.25,0,https://www.fanduel.com/entry/BVNSEXOLV
S1808966781,cfb,9/28/19,$2K Sat CFB Helmet Sticker (Single Entry),$60k,119.82,,404,2380,Tournament,1,2,https://www.fanduel.com/entry/BJFXZTMGP
S1808966532,cfb,9/28/19,50/50 Contest ($5 - Top 50% Win) (Main),$60k,125.34,,27,100,Tournament,5,9,https://www.fanduel.com/entry/FCOIRNSIT
S1808966326,cfb,9/28/19,50/50 Contest ($5 - Top 50% Win) (Main),$60k,125.34,,32,100,Tournament,5,9,https://www.fanduel.com/entry/EHSCRUAKP
S1808966237,cfb,9/28/19,50/50 Contest ($5 - Top 50% Win) (Main),$60k,125.34,,30,100,Tournament,5,9,https://www.fanduel.com/entry/ASDAKDBYX
S1808965933,cfb,9/28/19,$15K Sat CFB Fight Song ($2K to 1st),$60k,81.16,,5100,5952,Tournament,3,0,https://www.fanduel.com/entry/CRLTFAGVZ
S1808965903,cfb,9/28/19,$15K Sat CFB Fight Song ($2K to 1st),$60k,132.82,,1131,5952,Tournament,3,6,https://www.fanduel.com/entry/CXWPBBTWD
S1808965890,cfb,9/28/19,$15K Sat CFB Fight Song ($2K to 1st),$60k,86.66,,4733,5952,Tournament,3,0,https://www.fanduel.com/entry/BYFFQVTVN
S1808965796,cfb,9/28/19,$3K Sat CFB Five Star (Single Entry),$60k,125.34,,225,714,Tournament,5,0,https://www.fanduel.com/entry/EMNGCCPOL
S1808965648,cfb,9/28/19,$3K Sat CFB Helmet Sticker (Single Entry),$60k,69.56,,3316,3571,Tournament,1,0,https://www.fanduel.com/entry/DTUQALVNF
S1808965337,cfb,9/28/19,$7500 Sat CFB Fight Song,$60k,107.12,,1973,2976,Tournament,3,0,https://www.fanduel.com/entry/CDOGNSBYP
S1808965325,cfb,9/28/19,$7500 Sat CFB Fight Song,$60k,100.42,,2261,2976,Tournament,3,0,https://www.fanduel.com/entry/EUNUKIFGT
S1808965291,cfb,9/28/19,$7500 Sat CFB Fight Song,$60k,117.46,,1421,2976,Tournament,3,0,https://www.fanduel.com/entry/BKHSZNOYD
S1808965085,cfb,9/27/19,$7K Fri CFB Fight Song,$60k,84.9,,1760,2777,Tournament,3,0,https://www.fanduel.com/entry/DEHKXOLSD
S1808965088,cfb,9/27/19,$7K Fri CFB Fight Song,$60k,105.06,,858,2777,Tournament,3,0,https://www.fanduel.com/entry/DHMVVPFFF
