Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link,
S1960512305,nba,1/15/20,$11K Wed NBA Dribbler (Single Entry),$60k,318.7,,4172,13095,Tournament,1,0,https://www.fanduel.com/entry/CDPPEAZUO,
S1960512053,nba,1/15/20,NBA Daily Free Play,$60k,322.2,,6370,27786,Tournament,0,0,https://www.fanduel.com/entry/AYBHKSKOW,
S1959700432,nba,1/14/20,50/50 League ($1 - Top 50% Win) (Main),$60k,291.2,,24,100,Tournament,1,1.8,https://www.fanduel.com/entry/AEUUKWUBU,
S1959700291,nba,1/14/20,50/50 League ($1 - Top 50% Win) (Main),$60k,291.2,,18,100,Tournament,1,1.8,https://www.fanduel.com/entry/CBLZUKRJQ,
S1959700134,nba,1/14/20,50/50 League ($1 - Top 50% Win) (Main),$60k,291.2,,14,100,Tournament,1,1.8,https://www.fanduel.com/entry/CHWVQILLE,
S1959700004,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,18,100,Tournament,2,3.6,https://www.fanduel.com/entry/CTQSJCNPU,
S1959699900,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,22,100,Tournament,2,3.6,https://www.fanduel.com/entry/ADSZMCUAO,
S1959699796,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,20,100,Tournament,2,3.6,https://www.fanduel.com/entry/EBWNOBWHY,
S1959699703,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,26,100,Tournament,2,3.6,https://www.fanduel.com/entry/DJRUZNTAK,
S1959699599,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,21,100,Tournament,2,3.6,https://www.fanduel.com/entry/BSJQNOUOS,
S1959699466,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,21,100,Tournament,2,3.6,https://www.fanduel.com/entry/BYUMJQHOW,
S1959594368,nba,1/14/20,50/50 League ($1 - Top 50% Win) (Main),$60k,291.2,,19,100,Tournament,1,1.8,https://www.fanduel.com/entry/ECYHZBXLW,
S1959594266,nba,1/14/20,50/50 League ($1 - Top 50% Win) (Main),$60k,291.2,,24,100,Tournament,1,1.8,https://www.fanduel.com/entry/ARQLPFVEU,
S1959594176,nba,1/14/20,50/50 League ($1 - Top 50% Win) (Main),$60k,291.2,,18,100,Tournament,1,1.8,https://www.fanduel.com/entry/DCTBCPQJG,
S1959594097,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,25,100,Tournament,2,3.6,https://www.fanduel.com/entry/EXUNZOGDC,
S1959593923,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,25,100,Tournament,2,3.6,https://www.fanduel.com/entry/BSXNLXJUU,
S1959593829,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,23,100,Tournament,2,3.6,https://www.fanduel.com/entry/EIHIWJKKU,
S1959593728,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,19,100,Tournament,2,3.6,https://www.fanduel.com/entry/CXKAGAUDK,
S1959593625,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,25,100,Tournament,2,3.6,https://www.fanduel.com/entry/DDGYPKVFS,
S1959593490,nba,1/14/20,50/50 League ($2 - Top 50% Win) (Main),$60k,291.2,,19,100,Tournament,2,3.6,https://www.fanduel.com/entry/DSGGGNCUQ,
S1959593165,nba,1/14/20,50/50 League ($5 - Top 50% Win) (Main),$60k,291.2,,22,100,Tournament,5,9,https://www.fanduel.com/entry/EOEHGAXKI,
S1959593060,nba,1/14/20,50/50 League ($5 - Top 50% Win) (Main),$60k,291.2,,26,100,Tournament,5,9,https://www.fanduel.com/entry/ATGECGHOQ,
S1959592803,nba,1/14/20,$12K Tue NBA Block (Single Entry),$60k,291.2,,1616,7142,Tournament,2,4,https://www.fanduel.com/entry/BWCYKBWGM,
S1959592707,nba,1/14/20,$7K Tue NBA Swat (3 Entries Max),$60k,351.2,,62,8333,Tournament,1,8,https://www.fanduel.com/entry/BGPTGXAOE,
S1959592711,nba,1/14/20,$7K Tue NBA Swat (3 Entries Max),$60k,359.5,,25,8333,Tournament,1,15,https://www.fanduel.com/entry/BBUPWVXHO,
S1959592698,nba,1/14/20,$7K Tue NBA Swat (3 Entries Max),$60k,312.5,,796,8333,Tournament,1,2.5,https://www.fanduel.com/entry/BHROGFYJW,
S1959592503,nba,1/14/20,$11K Tue NBA Dribbler (Single Entry),$60k,327.3,,457,13095,Tournament,1,4,https://www.fanduel.com/entry/CZNQFSSLC,
S1959555910,nba,1/14/20,NBA Daily Free Play,$60k,291.2,,6522,28577,Tournament,0,0,https://www.fanduel.com/entry/ASEKBZXKQ,
S1958489825,nba,1/13/20,NBA Head-to-head (Main),$60k,312.4,371.8,2,2,greenbelliedpiranha,1,0,https://www.fanduel.com/entry/CHWUXNZKZ,
S1958489669,nba,1/13/20,NBA Head-to-head (Main),$60k,312.4,309.9,1,2,k_rob,2,3.6,https://www.fanduel.com/entry/CYZSNAQUB,
S1958489581,nba,1/13/20,NBA Head-to-head (Main),$60k,312.4,332.2,2,2,jonkraus99,2,0,https://www.fanduel.com/entry/FETHDCYZP,
S1958489163,nba,1/13/20,50/50 League ($1 - Top 50% Win) (Main),$60k,312.4,,49,100,Tournament,1,0.45,https://www.fanduel.com/entry/EYWIUAJUN,
S1958488995,nba,1/13/20,50/50 League ($1 - Top 50% Win) (Main),$60k,312.4,,54,100,Tournament,1,0,https://www.fanduel.com/entry/CAKECHHNT,
S1958488903,nba,1/13/20,50/50 League ($1 - Top 50% Win) (Main),$60k,312.4,,54,100,Tournament,1,0,https://www.fanduel.com/entry/ATGDWQWRH,
S1958488823,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,57,100,Tournament,2,0,https://www.fanduel.com/entry/CNTTHBTLX,
S1958488751,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,53,100,Tournament,2,0,https://www.fanduel.com/entry/BNOMKEHNL,
S1958488668,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,47,100,Tournament,2,1.6,https://www.fanduel.com/entry/BVPASRJCZ,
S1958488583,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,58,100,Tournament,2,0,https://www.fanduel.com/entry/DQCQDCFXP,
S1958488409,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,55,100,Tournament,2,0,https://www.fanduel.com/entry/ERJRZEWTD,
S1958488352,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,52,100,Tournament,2,0,https://www.fanduel.com/entry/EEOAHFPRL,
S1958359887,nba,1/13/20,50/50 League ($1 - Top 50% Win) (Main),$60k,312.4,,54,100,Tournament,1,0,https://www.fanduel.com/entry/CGHCPCVIX,
S1958359764,nba,1/13/20,50/50 League ($1 - Top 50% Win) (Main),$60k,312.4,,56,100,Tournament,1,0,https://www.fanduel.com/entry/CTQRUBAFR,
S1958359672,nba,1/13/20,50/50 League ($1 - Top 50% Win) (Main),$60k,312.4,,56,100,Tournament,1,0,https://www.fanduel.com/entry/BVBDEWBQH,
S1958359552,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,51,100,Tournament,2,0,https://www.fanduel.com/entry/ACDGGHVQP,
S1958359474,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,55,100,Tournament,2,0,https://www.fanduel.com/entry/BJVDYPSKX,
S1958359414,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,51,100,Tournament,2,0,https://www.fanduel.com/entry/FETHCVNCL,
S1958359345,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,56,100,Tournament,2,0,https://www.fanduel.com/entry/EIVGDHSMT,
S1958359254,nba,1/13/20,50/50 League ($2 - Top 50% Win) (Main),$60k,312.4,,57,100,Tournament,2,0,https://www.fanduel.com/entry/DKTPFCCFR,
S1958359006,nba,1/13/20,50/50 League ($5 - Top 50% Win) (Main),$60k,312.4,,47,100,Tournament,5,2.57,https://www.fanduel.com/entry/DHOEHMNOL,
S1958357978,nba,1/13/20,$250 NBA Small Dribbler (Single Entry),$60k,291.7,,221,297,Tournament,1,0,https://www.fanduel.com/entry/CRNBRXRVN,
S1958357800,nba,1/13/20,NBA Daily Free Play,$60k,251.8,,26190,27445,Tournament,0,0,https://www.fanduel.com/entry/AZQZSSJRN,
S1958357765,nba,1/13/20,$11K Mon NBA Block (Single Entry),$60k,312.4,,3328,6547,Tournament,2,0,https://www.fanduel.com/entry/BASUSBHNF,
S1958357602,nba,1/13/20,$10K Mon NBA Dribbler (Single Entry),$60k,251.8,,11519,11904,Tournament,1,0,https://www.fanduel.com/entry/AFWOSLINR,
S1953662603,cfb,1/13/20,$5K Mon CFB Helmet Sticker (Single Entry),$60k,96.91,,5671,5952,Tournament,1,0,https://www.fanduel.com/entry/AJCATLHEW,
