Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1473574606,mlb,2018/05/31,$3K Thu MLB Sac Fly (3 Entries Max),$35k,48,,3490,3571,Tournament,1,0,https://www.fanduel.com/entry/BJPSMCAJJ,
S1473574490,mlb,2018/05/31,$8K Thu MLB Bunt (Single Entry_ Next Fan Up Challenge),$35k,169.30,,1101,9523,Tournament,1,2.00,https://www.fanduel.com/entry/DOHMDGPPB,
S1473107849,mlb,2018/05/30,$8K Wed MLB Stolen Base (Single Entry),$35k,144.10,,630,4761,Tournament,2,4.00,https://www.fanduel.com/entry/CLKQOWPZV,
S1473107834,mlb,2018/05/30,$5K Wed MLB Sac Fly (3 Entries Max),$35k,111.30,,2829,5952,Tournament,1,0,https://www.fanduel.com/entry/CPRWMGHIP,
S1473107835,mlb,2018/05/30,$5K Wed MLB Sac Fly (3 Entries Max),$35k,107.50,,3096,5952,Tournament,1,0,https://www.fanduel.com/entry/CPDYZOVKT,
S1473107836,mlb,2018/05/30,$5K Wed MLB Sac Fly (3 Entries Max),$35k,120.20,,2264,5952,Tournament,1,0,https://www.fanduel.com/entry/COQBMXJMX,
S1473107794,mlb,2018/05/30,$8K Wed MLB Bunt (Single Entry_ Next Fan Up Challenge),$35k,144.90,,1116,9523,Tournament,1,2.00,https://www.fanduel.com/entry/CUMZWHKPF,
S1473107604,mlb,2018/05/30,$3K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,136.10,,1761,3571,Tournament,1,0,https://www.fanduel.com/entry/BTTVRSZWL,
S1473107605,mlb,2018/05/30,$3K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,151.10,,1080,3571,Tournament,1,0,https://www.fanduel.com/entry/BTFYFBNYP,
S1473107600,mlb,2018/05/30,$3K Wed MLB Sac Fly (3 Entries Max_ Early Only),$35k,160.80,,698,3571,Tournament,1,2.00,https://www.fanduel.com/entry/BUVQRBXSD,
S1473107588,mlb,2018/05/30,$5K Wed MLB Bunt (Single Entry_ Early Only),$35k,98.70,,5310,5952,Tournament,1,0,https://www.fanduel.com/entry/BVXLQKVNV,
S1472551753,nba,2018/05/28,$1K Mon NBA Assist (Single Entry_ GS @ HOU),$60k,265.11,,205,238,Tournament,5,0,https://www.fanduel.com/entry/EDUQSRMKX,
S1472546268,mlb,2018/05/29,$9K Tue MLB Stolen Base (Single Entry),$35k,136,,1943,5357,Tournament,2,0,https://www.fanduel.com/entry/BJBUOYJJF,
S1472546228,mlb,2018/05/29,$5K Tue MLB Sac Fly (3 Entries Max),$35k,107.20,,4355,5952,Tournament,1,0,https://www.fanduel.com/entry/DRMWQJZDZ,
S1472546229,mlb,2018/05/29,$5K Tue MLB Sac Fly (3 Entries Max),$35k,132.30,,2506,5952,Tournament,1,0,https://www.fanduel.com/entry/DQYZDSNGD,
S1472546230,mlb,2018/05/29,$5K Tue MLB Sac Fly (3 Entries Max),$35k,144.20,,1614,5952,Tournament,1,0,https://www.fanduel.com/entry/DQLBRBBIH,
S1472546136,mlb,2018/05/29,$10K Tue MLB Bunt (Single Entry_ Next Fan Up Challenge),$35k,136,,4214,11904,Tournament,1,0,https://www.fanduel.com/entry/AIIQFJLMX,
S1472404056,mlb,2018/05/28,$2K Mon MLB Stolen Base (Single Entry_ Afternoon Only),$35k,123.40,,455,1190,Tournament,2,0,https://www.fanduel.com/entry/AUCNEAKND,
