Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1370462608,nfl,2017/12/31,My Loser Friends (NFL Contest 14),$60k,91.10,,4,5,5 player league,2,0,https://www.fanduel.com/entry/BZDKSHTMO,
S1370462396,nfl,2017/12/31,First World Problem (NFL Contest 17),$60k,74.76,,9,9,9 player league,5,0,https://www.fanduel.com/entry/DJMVWKCRY,
S1370365731,nba,2017/12/27,$17K Wed NBA Block (Single Entry),$60k,279.40,,5181,10119,Tournament,2,0,https://www.fanduel.com/entry/EYRLBPHVF,
S1370365709,nba,2017/12/27,$10K Wed NBA Swat (3 Entries Max),$60k,300.50,,3091,11904,Tournament,1,0,https://www.fanduel.com/entry/ALARVSTCL,
S1370365711,nba,2017/12/27,$10K Wed NBA Swat (3 Entries Max),$60k,310.40,,1936,11904,Tournament,1,2.00,https://www.fanduel.com/entry/AGFOLRPVV,
S1370365712,nba,2017/12/27,$10K Wed NBA Swat (3 Entries Max),$60k,279.40,,6154,11904,Tournament,1,0,https://www.fanduel.com/entry/AFRQZADXZ,
S1370365662,nba,2017/12/27,$20K Wed NBA Dribbler (Single Entry),$60k,279.40,,11074,23809,Tournament,1,0,https://www.fanduel.com/entry/ECTKCBNFN,
S1369520672,nba,2017/12/26,$3K Tue NBA Starting 5 Dribbler (Single Entry),$60k,130.20,,3326,3571,Tournament,1,0,https://www.fanduel.com/entry/DLQMIZQFO,
S1369339303,nba,2017/12/26,$20K Tue NBA Block (Single Entry),$60k,219.80,,10896,11904,Tournament,2,0,https://www.fanduel.com/entry/BOZGMZIOH,
S1369339232,nba,2017/12/26,$10K Tue NBA Swat (3 Entries Max),$60k,219.80,,10949,11904,Tournament,1,0,https://www.fanduel.com/entry/APVUPVZHJ,
S1369339233,nba,2017/12/26,$10K Tue NBA Swat (3 Entries Max),$60k,219.80,,10949,11904,Tournament,1,0,https://www.fanduel.com/entry/APHXDENJN,
S1369339235,nba,2017/12/26,$10K Tue NBA Swat (3 Entries Max),$60k,219.80,,10949,11904,Tournament,1,0,https://www.fanduel.com/entry/AKMTTDKCX,
S1369338720,nba,2017/12/26,$20K Tue NBA Dribbler (Single Entry),$60k,219.80,,21463,23809,Tournament,1,0,https://www.fanduel.com/entry/AAWMZIPMX,
S1368996896,nfl,2017/12/31,$50K Sun NFL Spike (Single Entry),$60k,124.18,,2870,11904,Tournament,5,0,https://www.fanduel.com/entry/DBMICNJNC,
S1368996797,nfl,2017/12/31,$25K Sun NFL Safety (Single Entry),$60k,113.02,,6132,14881,Tournament,2,0,https://www.fanduel.com/entry/CITSBLNGI,
S1368996676,nfl,2017/12/31,$100K Sun NFL Snap (30 Entries Max),$60k,74.76,,55418,59523,Tournament,2,0,https://www.fanduel.com/entry/DQZNGKVYM,
S1368996677,nfl,2017/12/31,$100K Sun NFL Snap (30 Entries Max),$60k,91.10,,45525,59523,Tournament,2,0,https://www.fanduel.com/entry/DQLPTTKAQ,
S1368996680,nfl,2017/12/31,$100K Sun NFL Snap (30 Entries Max),$60k,88.80,,47373,59523,Tournament,2,0,https://www.fanduel.com/entry/DTRARUDNS,
S1368996682,nfl,2017/12/31,$100K Sun NFL Snap (30 Entries Max),$60k,88.96,,47252,59523,Tournament,2,0,https://www.fanduel.com/entry/DTDDFCRPW,
S1368996684,nfl,2017/12/31,$100K Sun NFL Snap (30 Entries Max),$60k,104.64,,32153,59523,Tournament,2,0,https://www.fanduel.com/entry/DSPFSLFSA,
S1368996314,nfl,2017/12/31,$30K Sun NFL Squib (Single Entry),$60k,83.92,,30554,35714,Tournament,1,0,https://www.fanduel.com/entry/FAHDKPJNS,
S1368993974,nba,2017/12/25,$1K Mon NBA Starting 5 Block (Single Entry),$60k,165.30,,559,595,Tournament,2,0,https://www.fanduel.com/entry/BWLXSSFJS,
S1368871846,nfl,2017/12/25,$25K Mon NFL Spike (Single Entry),$60k,86.92,,2673,5952,Tournament,5,0,https://www.fanduel.com/entry/BWLXNZEDM,
S1368640596,epl,2017/12/27,$1500 Wed EPL Sweeper ($1500 Guaranteed_ Wed-Thu),$60k,97.50,,562,595,Tournament,3,0,https://www.fanduel.com/entry/ATPDZFNJX,
S1368639920,epl,2017/12/26,$1K Tue EPL Corner Kick (Single Entry),$60k,169,,291,535,Tournament,2,0,https://www.fanduel.com/entry/BNXLGXEBM,
S1368639827,epl,2017/12/26,$1K Tue EPL Equalizer (Single Entry),$60k,169,,467,955,Tournament,1,0,https://www.fanduel.com/entry/AIXAZUVXU,
S1367638704,nba,2017/12/25,$18K Mon NBA Block (Single Entry),$60k,296.50,,4117,10714,Tournament,2,0,https://www.fanduel.com/entry/FAVAMYJIJ,
S1367638677,nba,2017/12/25,$10K Mon NBA Swat (3 Entries Max),$60k,252,,10330,11904,Tournament,1,0,https://www.fanduel.com/entry/CVPJJNNAR,
S1367638678,nba,2017/12/25,$10K Mon NBA Swat (3 Entries Max),$60k,284.10,,6472,11904,Tournament,1,0,https://www.fanduel.com/entry/CVBLWWBCV,
S1367638680,nba,2017/12/25,$10K Mon NBA Swat (3 Entries Max),$60k,333,,616,11904,Tournament,1,4.00,https://www.fanduel.com/entry/CYGWUWUPX,
S1367638536,nba,2017/12/25,$20K Mon NBA Dribbler (Single Entry),$60k,268.70,,16595,23809,Tournament,1,0,https://www.fanduel.com/entry/EAPTQMCFT,
S1366449762,nfl,2017/12/23,$30K Sat NFL Spike (Single Entry_ Sat Only),$60k,66.76,,4394,7142,Tournament,5,0,https://www.fanduel.com/entry/CSJYQQZQL,
S1366411030,nba,2017/12/23,$9K Sat NBA Assist (Single Entry),$60k,284.90,,986,2142,Tournament,5,0,https://www.fanduel.com/entry/CQGIDBJMU,
S1366410975,nba,2017/12/23,$5K Sat NBA Swat (3 Entries Max),$60k,239.70,,5197,5952,Tournament,1,0,https://www.fanduel.com/entry/EBDQSYUYI,
S1366410976,nba,2017/12/23,$5K Sat NBA Swat (3 Entries Max),$60k,265.60,,3880,5952,Tournament,1,0,https://www.fanduel.com/entry/FEOINXAJW,
S1366410977,nba,2017/12/23,$5K Sat NBA Swat (3 Entries Max),$60k,292.60,,1731,5952,Tournament,1,0,https://www.fanduel.com/entry/FEALBFOMA,
S1366410950,nba,2017/12/23,$15K Sat NBA Dribbler (Single Entry),$60k,284.90,,6641,17857,Tournament,1,0,https://www.fanduel.com/entry/BSSORNFDO,
S1365895994,epl,2017/12/23,$1K Sat EPL Corner Kick (Single Entry),$60k,84.75,,464,473,Tournament,2,0,https://www.fanduel.com/entry/DTDDLVYEX,
S1365895759,epl,2017/12/23,$1K Sat EPL Equalizer (Single Entry),$60k,132.50,,692,969,Tournament,1,0,https://www.fanduel.com/entry/DCAGBJTZJ,
S1365859684,nfl,2017/12/24,RAFFDUEL CHRISTMAS 2017,$60k,142.72,,1,20,20 player league,10,90.00,https://www.fanduel.com/entry/DSPFNKSQI,
S1365434988,nba,2017/12/22,$12K Fri NBA Block (Single Entry),$60k,246.90,,6243,7142,Tournament,2,0,https://www.fanduel.com/entry/EHONWDQRM,
S1365434938,nba,2017/12/22,$10K Fri NBA Swat (3 Entries Max),$60k,256.50,,9689,11904,Tournament,1,0,https://www.fanduel.com/entry/ASNJBEEDQ,
S1365434934,nba,2017/12/22,$10K Fri NBA Swat (3 Entries Max),$60k,332.10,,1229,11904,Tournament,1,2.50,https://www.fanduel.com/entry/AYKHKOFFY,
S1365434935,nba,2017/12/22,$10K Fri NBA Swat (3 Entries Max),$60k,325.30,,1721,11904,Tournament,1,2.00,https://www.fanduel.com/entry/AXWJXWTIC,
S1365434062,nba,2017/12/22,$16K Fri NBA Dribbler (Single Entry),$60k,255.80,,15492,19048,Tournament,1,0,https://www.fanduel.com/entry/DOVXVFNJI,
S1364783015,nfl,2017/12/24,Can Krupa Hold On?,$60k,125.22,,4,19,Tournament,0,0,https://www.fanduel.com/entry/BNXMHWDYE,
S1364643520,nba,2017/12/21,$15K Thu NBA Block (Single Entry),$60k,292.70,,3038,8929,Tournament,2,0,https://www.fanduel.com/entry/BGYTDOUJI,
S1364643501,nba,2017/12/21,$10K Thu NBA Swat (3 Entries Max),$60k,292.70,,4142,11904,Tournament,1,0,https://www.fanduel.com/entry/ADADVZCZY,
S1364643502,nba,2017/12/21,$10K Thu NBA Swat (3 Entries Max),$60k,292.70,,4142,11904,Tournament,1,0,https://www.fanduel.com/entry/ACMGJHRCC,
S1364643503,nba,2017/12/21,$10K Thu NBA Swat (3 Entries Max),$60k,292.70,,4142,11904,Tournament,1,0,https://www.fanduel.com/entry/BFWYEFWNQ,
S1364643460,nba,2017/12/21,$18K Thu NBA Dribbler (Single Entry),$60k,292.70,,7203,21428,Tournament,1,0,https://www.fanduel.com/entry/ALOPQSLRM,
S1364144620,nba,2017/12/25,NBA Starting 5 Christmas Jam,$60k,165.30,,129725,147355,Tournament,0,0,https://www.fanduel.com/entry/AYYEHPFUG,
S1363738079,nba,2017/12/20,$17K Wed NBA Block (Single Entry),$60k,210.30,,9668,10119,Tournament,2,0,https://www.fanduel.com/entry/EDVFHOTNS,
S1363738059,nba,2017/12/20,$10K Wed NBA Swat (3 Entries Max),$60k,243.10,,8516,11904,Tournament,1,0,https://www.fanduel.com/entry/ENZJOILYU,
S1363738060,nba,2017/12/20,$10K Wed NBA Swat (3 Entries Max),$60k,282.20,,3164,11904,Tournament,1,0,https://www.fanduel.com/entry/EJEGEHISE,
S1363738062,nba,2017/12/20,$10K Wed NBA Swat (3 Entries Max),$60k,261.20,,6012,11904,Tournament,1,0,https://www.fanduel.com/entry/EIQIRPWUI,
S1363737949,nba,2017/12/20,$20K Wed NBA Dribbler (Single Entry),$60k,260,,12538,23809,Tournament,1,0,https://www.fanduel.com/entry/BVKDBNVLG,
S1363720942,nfl,2017/12/24,My Loser Friends (NFL Contest 13),$60k,118.12,,2,5,5 player league,2,0,https://www.fanduel.com/entry/CXSYVWREF,
S1363341424,nfl,2017/12/24,NFL WEEK 16,$60k,124.20,,4,15,15 player league,10,0,https://www.fanduel.com/entry/DLQMQEBIK,
S1363326973,nfl,2017/12/24,First World Problem (NFL Contest 16),$60k,134.62,,1,10,10 player league,5,22.50,https://www.fanduel.com/entry/BRQTPSXCP,
S1363079454,nba,2017/12/19,$10K Tue NBA Swat (3 Entries Max),$60k,248.60,,8049,11904,Tournament,1,0,https://www.fanduel.com/entry/BVKDDCVWK,
S1363079457,nba,2017/12/19,$10K Tue NBA Swat (3 Entries Max),$60k,242.30,,9065,11904,Tournament,1,0,https://www.fanduel.com/entry/BYPOBDPJM,
S1363079458,nba,2017/12/19,$10K Tue NBA Swat (3 Entries Max),$60k,257.60,,6069,11904,Tournament,1,0,https://www.fanduel.com/entry/BYBQOMDLQ,
S1363079437,nba,2017/12/19,$18K Tue NBA Block (Single Entry),$60k,263.80,,4437,10714,Tournament,2,0,https://www.fanduel.com/entry/EUKFHUVYG,
S1363075466,nba,2017/12/19,$20K Tue NBA Dribbler (Single Entry),$60k,280.80,,3667,23809,Tournament,1,2.00,https://www.fanduel.com/entry/BDFKVEGDE,
S1363067208,nfl,2017/12/24,$25K Sun NFL Spike (Single Entry_ 1pm Only),$60k,139.56,,317,5952,Tournament,5,15.00,https://www.fanduel.com/entry/DTQZYZRLR,
S1363066823,nfl,2017/12/24,$14K Sun NFL Snap ($14K Guaranteed_ Sun-Mon),$60k,124.20,,1485,8333,Tournament,2,4.00,https://www.fanduel.com/entry/FFQDPCKKP,
S1363066824,nfl,2017/12/24,$14K Sun NFL Snap ($14K Guaranteed_ Sun-Mon),$60k,142.72,,295,8333,Tournament,2,6.00,https://www.fanduel.com/entry/FFCGCKYMT,
