Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1898583940,epl,2019/11/30,$100 Wonder Strike,$0k,74.40,,34,40,Tournament,3,0,https://www.fanduel.com/entry/DZFGZOHEH,
S1898538782,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,27,100,Tournament,2,3.60,https://www.fanduel.com/entry/EVRFESVIA,
S1898538731,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,22,100,Tournament,1,1.80,https://www.fanduel.com/entry/COVVPDWIE,
S1898538670,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,24,100,Tournament,2,3.60,https://www.fanduel.com/entry/BKXGHOEYU,
S1898538626,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,25,100,Tournament,1,1.80,https://www.fanduel.com/entry/ANJMVSOSI,
S1898538582,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,25,100,Tournament,1,1.80,https://www.fanduel.com/entry/CXYEWHFAI,
S1898538515,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,22,100,Tournament,2,3.60,https://www.fanduel.com/entry/BSXUPQBSM,
S1898538476,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,20,100,Tournament,1,1.80,https://www.fanduel.com/entry/BVBKOLQIM,
S1898538410,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,23,100,Tournament,1,1.80,https://www.fanduel.com/entry/DMXMNJMPG,
S1898538382,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,24,100,Tournament,2,3.60,https://www.fanduel.com/entry/AWLWDKVEY,
S1898538314,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,27,100,Tournament,2,3.60,https://www.fanduel.com/entry/ERXWUIBUI,
S1898538252,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,26,100,Tournament,2,3.60,https://www.fanduel.com/entry/EAUZEZDJW,
S1898224583,cfb,2019/11/30,50/50 Contest ($5 - Top 50% Win) (Main),$60k,114.02,,5,20,20 player league,5,9.00,https://www.fanduel.com/entry/AWZTEEUNP,
S1898200734,nfl,2019/12/01,Matty balls pushes all the right buttons!,$60k,139.40,,2,13,Tournament,10,39.00,https://www.fanduel.com/entry/CZNXJSWFX,
S1897475877,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,24,100,Tournament,1,1.80,https://www.fanduel.com/entry/EIHOXRVCE,
S1897475788,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,31,100,Tournament,2,3.60,https://www.fanduel.com/entry/CERQFZWQU,
S1897475667,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,26,100,Tournament,1,1.80,https://www.fanduel.com/entry/AANUBFHLS,
S1897475568,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,33,100,Tournament,2,3.60,https://www.fanduel.com/entry/ALTTHHXSM,
S1897475460,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,27,100,Tournament,1,1.80,https://www.fanduel.com/entry/CQZKLLKTG,
S1897475302,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,28,100,Tournament,1,1.80,https://www.fanduel.com/entry/DABTSWFIQ,
S1897475129,nfl,2019/12/01,50/50 Contest ($1 - Top 50% Win) (Main),$60k,139.40,,27,100,Tournament,1,1.80,https://www.fanduel.com/entry/ASEPEJNIY,
S1897475043,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,25,100,Tournament,2,3.60,https://www.fanduel.com/entry/EYIRNZHOE,
S1897474918,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,30,100,Tournament,2,3.60,https://www.fanduel.com/entry/EEAJALWSA,
S1897474804,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,26,100,Tournament,2,3.60,https://www.fanduel.com/entry/ANJLTXFGM,
S1897474722,nfl,2019/12/01,50/50 Contest ($2 - Top 50% Win) (Main),$60k,139.40,,27,100,Tournament,2,3.60,https://www.fanduel.com/entry/AHMNKYJAA,
S1897363226,cfb,2019/11/29,50/50 Contest ($5 - Top 50% Win) (Fri Main),$60k,117.32,,13,20,20 player league,5,0,https://www.fanduel.com/entry/CMSDZHRXE,
S1897089235,nba,2019/11/29,NBA tournament,$60k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/CHJDNITSS, voided
S1897089226,nba,2019/11/29,NBA tournament,$60k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/CEDSPIAFQ, voided
S1897089231,nba,2019/11/29,NBA tournament,$60k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/CHXBAAFQO, voided
S1897089129,nba,2019/11/29,NBA tournament,$60k,,,0,,Cancelled,2,0,https://www.fanduel.com/entry/CTDAGOATE, voided
S1897089066,nba,2019/11/29,$10K Fri NBA Dribbler (Single Entry),$60k,315,,759,11904,Tournament,1,3.00,https://www.fanduel.com/entry/AQOWOBHEW,
S1897088925,nba,2019/11/29,NBA Daily Free Play,$60k,315,,1613,24138,Tournament,0,0,https://www.fanduel.com/entry/DBDOOPXMW,
S1897068106,epl,2019/11/30,$1_000 All Star Weekly FDP Loyalty Free Play (4 of 4),$0k,74.40,,961,1812,Tournament,0,0,https://www.fanduel.com/entry/DIQFRETRM,
S1897066801,cbb,2019/11/29,$500 Fri CBB Bank Shot,$50k,158.90,,105,297,Tournament,2,0,https://www.fanduel.com/entry/CHXBNBNUO,
S1897045330,cfb,2019/11/29,50/50 Contest ($2 - Top 50% Win) (Fri Main),$60k,117.32,,16,20,20 player league,2,0,https://www.fanduel.com/entry/DXPMKEQFB,
S1897044976,cfb,2019/11/29,50/50 Contest ($2 - Top 50% Win) (Fri Main),$60k,117.32,,15,20,20 player league,2,0,https://www.fanduel.com/entry/BRIAHHDDB,
S1897016883,cfb,2019/11/30,$1K Sat CFB Spring Game (Only $0.25 to Enter),$60k,109.72,,2113,4790,Tournament,0.25,0,https://www.fanduel.com/entry/CIYWDUSVJ,
S1897016889,cfb,2019/11/30,$1K Sat CFB Spring Game (Only $0.25 to Enter),$60k,94.38,,3375,4790,Tournament,0.25,0,https://www.fanduel.com/entry/DQCWIZYVZ,
S1897016896,cfb,2019/11/30,$1K Sat CFB Spring Game (Only $0.25 to Enter),$60k,66.78,,4726,4790,Tournament,0.25,0,https://www.fanduel.com/entry/DPOYWIMYD,
S1897016876,cfb,2019/11/30,$1K Sat CFB Spring Game (Only $0.25 to Enter),$60k,106.72,,2297,4790,Tournament,0.25,0,https://www.fanduel.com/entry/CJMTQMETF,
S1897016637,cfb,2019/11/30,$1500 Sat CFB Helmet Sticker (Single Entry),$60k,101.92,,1054,1785,Tournament,1,0,https://www.fanduel.com/entry/BYGUKJOML,
S1897016071,cfb,2019/11/30,100-Player Contest ($2 - Top 12 Win),$60k,121.66,,15,100,Tournament,2,0,https://www.fanduel.com/entry/EJJJXXCPN,
S1897015909,cfb,2019/11/30,20-Player Contest ($2 - Top 3 Win),$60k,105.74,,9,20,20 player league,2,0,https://www.fanduel.com/entry/BOQNQLAXV,
S1897015765,cfb,2019/11/30,20-Player Contest ($1 - Top 3 Win),$60k,116.08,,2,20,20 player league,1,5.00,https://www.fanduel.com/entry/AJCFWUZUX,
S1897015076,cfb,2019/11/30,$1K Sat CFB Helmet Sticker (Single Entry),$60k,105.74,,523,1190,Tournament,1,0,https://www.fanduel.com/entry/BZWMWVDBV,
S1897014718,cfb,2019/11/30,$1500 Sat CFB Spring Game ($0.25 to Enter),$60k,124.20,,4103,7185,Tournament,0.25,0,https://www.fanduel.com/entry/ADTFARIKX,
S1897014723,cfb,2019/11/30,$1500 Sat CFB Spring Game ($0.25 to Enter),$60k,124.20,,4103,7185,Tournament,0.25,0,https://www.fanduel.com/entry/ACRKBIKPF,
