Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1564284279,nfl,2018/10/21,Covers Championship Series,$60k,119,,7027,16095,Tournament,0,0,https://www.fanduel.com/entry/DFEZSNQAS,
S1563136984,nfl,2018/10/21,50/50 Contest ($25 - Top 50% Win) (Main),$60k,112.18,,78,100,Tournament,25,0,https://www.fanduel.com/entry/ALAAGCJWE,
S1563136851,nfl,2018/10/21,50/50 Contest ($25 - Top 50% Win) (Main),$60k,112.18,,72,100,Tournament,25,0,https://www.fanduel.com/entry/CAEOTURMI,
S1563085548,nfl,2018/10/21,$50K Sun NFL Scramble (Single Entry),$60k,112.18,,3607,5882,Tournament,10,0,https://www.fanduel.com/entry/EFYEHZKTG,
S1561321196,cfb,2018/10/20,$10K Sat CFB Fight Song,$60k,137.12,,182,1621,Tournament,7,15.00,https://www.fanduel.com/entry/DMRPGNGOD,
S1561123226,nba,2018/10/19,$400K Fri NBA Clutch Shot ($100K to 1st),$60k,273.10,,36070,119048,Tournament,4,0,https://www.fanduel.com/entry/BWLFZIXXI,
S1561122307,nba,2018/10/19,$3K NBA Fantasy Tip-Off Free Play,$60k,273.10,,12580,53703,Tournament,0,0,https://www.fanduel.com/entry/FDZTZBSNY,
S1561122042,nba,2018/10/19,$22K Fri NBA Dribbler (Single Entry),$60k,320.80,,106,26190,Tournament,1,15.00,https://www.fanduel.com/entry/BFIIKLEIS,
S1559751438,nfl,2018/10/18,$12K Thu NFL Squib (Single Entry),$60k,76.33,,371,14285,Tournament,1,5.00,https://www.fanduel.com/entry/DCNKYPSPB,
S1559475895,cfb,2018/10/20,$2K Sat CFB Flea Flicker (Single Entry),$60k,91.32,,369,1067,Tournament,2,0,https://www.fanduel.com/entry/EBQVXQQUU,
S1558953906,cfb,2018/10/20,$1K Sat CFB Helmet Sticker (Single Entry),$60k,137.12,,77,1190,Tournament,1,3.00,https://www.fanduel.com/entry/DXXNLJKZK,
S1558754626,nba,2018/10/18,$10K Thu NBA Swat (3 Entries Max),$60k,256.50,,9340,11904,Tournament,1,0,https://www.fanduel.com/entry/BOKQMAEVF,
S1558754627,nba,2018/10/18,$10K Thu NBA Swat (3 Entries Max),$60k,295.50,,3064,11904,Tournament,1,0,https://www.fanduel.com/entry/BNWSZISXJ,
S1558754628,nba,2018/10/18,$10K Thu NBA Swat (3 Entries Max),$60k,270.80,,7071,11904,Tournament,1,0,https://www.fanduel.com/entry/BNIVMRGZN,
S1558754521,nba,2018/10/18,$12K Thu NBA Block (Single Entry),$60k,259.20,,5332,7142,Tournament,2,0,https://www.fanduel.com/entry/FFBNSLDID,
S1558754450,nba,2018/10/18,$20K Thu NBA Dribbler (Single Entry),$60k,291.40,,6803,23809,Tournament,1,0,https://www.fanduel.com/entry/ELHCRWQHB,
S1558744905,nba,2018/10/18,$3K NBA Fantasy Tip-Off Free Play,$60k,259.20,,46853,74014,Tournament,0,0,https://www.fanduel.com/entry/CVATFKIPR,
S1558059945,nfl,2018/10/21,$45K Sun NFL Pardon My Take Leaderboard Series (Single Entry),$60k,112.18,,3171,5294,Tournament,10,0,https://www.fanduel.com/entry/CDJYYXGHT,
S1558059848,nfl,2018/10/21,$1K NFL Free Play presented by RotoQL,$60k,123.90,,42582,130039,Tournament,0,0,https://www.fanduel.com/entry/DPJCOOUKV,
S1558059795,nfl,2018/10/21,$1K NFL Free Play presented by Dash,$60k,138.52,,13379,109780,Tournament,0,0,https://www.fanduel.com/entry/DTCKZDGXD,
S1558055524,cfb,2018/10/20,$5K Sat CFB Fight Song,$60k,64.80,,1325,1488,Tournament,4,0,https://www.fanduel.com/entry/AUQGEVBPH,
S1558055458,cfb,2018/10/20,$5K Sat CFB Fight Song,$60k,89.20,,749,1488,Tournament,4,0,https://www.fanduel.com/entry/AYJOPNHAF,
S1558055277,cfb,2018/10/20,$5K Sat CFB Fight Song,$60k,97.96,,488,1488,Tournament,4,0,https://www.fanduel.com/entry/EBCZEXMMZ,
S1557705696,nba,2018/10/17,$20K Wed NBA Block (Single Entry),$60k,260.40,,8005,11904,Tournament,2,0,https://www.fanduel.com/entry/BTTREOQJN,
S1557705672,nba,2018/10/17,$20K Wed NBA Dribbler (Single Entry),$60k,232.90,,21811,23809,Tournament,1,0,https://www.fanduel.com/entry/CCICZHZBB,
S1557666943,cfb,2018/10/20,$2K Sat CFB Flea Flicker (Single Entry),$60k,142.22,,206,1190,Tournament,2,4.00,https://www.fanduel.com/entry/DERAVLBUT,
S1557666887,cfb,2018/10/20,$2K Sat CFB Helmet Sticker (Single Entry),$60k,142.22,,324,2380,Tournament,1,2.00,https://www.fanduel.com/entry/EXBAHAJZJ,
S1557271172,nba,2018/10/17,$1K NBA Small Shot,$60k,243.80,,350,396,Tournament,3,0,https://www.fanduel.com/entry/BVXIAFBNP,
S1557270073,nba,2018/10/17,$3K NBA Fantasy Tip-Off Free Play,$60k,243.80,,53162,66529,Tournament,0,0,https://www.fanduel.com/entry/COPYCSFGN,
S1557014371,nfl,2018/10/21,$35K Sun NFL Spike (Single Entry),$60k,102.88,,3910,8333,Tournament,5,0,https://www.fanduel.com/entry/BMUYPXRZT,
S1557012866,nfl,2018/10/21,$30K Sun NFL Spike (Single Entry),$60k,124.42,,3348,7142,Tournament,5,0,https://www.fanduel.com/entry/DYZJICCZH,
