Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1115774069,nba,12/18/16,$18K Sun NBA Dribbler (Single Entry),$60k,275.9,,1786,19567,Tournament,1,2,https://www.fanduel.com/entry/EKTCGIORH
S1114883251,nba,12/17/16,The streak had ended!,$60k,316.2,,1,4,4 player league,5,18,https://www.fanduel.com/entry/CSJDUZPUC
S1114794971,epl,12/18/16,$3K Sun EPL Sweeper ($3K Guaranteed),$60k,199.25,,7,1176,Tournament,3,50,https://www.fanduel.com/entry/CFNLEUESE
S1114771845,epl,12/17/16,EPL Head-to-head (Main),$60k,164.25,180,2,2,nwalker2,5,0,https://www.fanduel.com/entry/CPDSHESDC
S1114685030,nba,12/17/16,$15K Sat NBA Block (Single Entry),$60k,316.2,,855,8676,Tournament,2,4,https://www.fanduel.com/entry/ETVMKDAZH
S1114685014,nba,12/17/16,$25K Sat NBA Swat (3 Entries Max),$60k,316.2,,2631,29411,Tournament,1,2.5,https://www.fanduel.com/entry/ARYPXLTGZ
S1114685010,nba,12/17/16,$25K Sat NBA Swat (3 Entries Max),$60k,316.2,,2631,29411,Tournament,1,2.5,https://www.fanduel.com/entry/EUJJWUMXD
S1114685008,nba,12/17/16,$25K Sat NBA Swat (3 Entries Max),$60k,316.2,,2631,29411,Tournament,1,2.5,https://www.fanduel.com/entry/EUXHJLYUZ
S1114684988,nba,12/17/16,$25K Sat NBA Dribbler (Single Entry),$60k,316.2,,2434,26656,Tournament,1,2.5,https://www.fanduel.com/entry/FFPJCXDDX
S1113959572,nfl,12/18/16,$10K NFL / EPL Cross-Sport Survivor Final,$60k,118.34,,400,1500,Tournament,0,5,https://www.fanduel.com/entry/CWCMJHAWY
S1113959577,nfl,12/18/16,$10K NFL / EPL Cross-Sport Survivor Final,$60k,114.04,,581,1500,Tournament,0,4,https://www.fanduel.com/entry/CVOOWPOZC
S1113959581,nfl,12/18/16,$10K NFL / EPL Cross-Sport Survivor Final,$60k,101.28,,1046,1500,Tournament,0,4,https://www.fanduel.com/entry/CVARJYDBG
S1113959584,nfl,12/18/16,$10K NFL / EPL Cross-Sport Survivor Final,$60k,112.22,,636,1500,Tournament,0,4,https://www.fanduel.com/entry/CYTZUQIME
S1113959558,nfl,12/18/16,$10K NFL / EPL Cross-Sport Survivor Final,$60k,128.44,,173,1500,Tournament,0,8,https://www.fanduel.com/entry/DCNIFINXC
S1113959559,nfl,12/18/16,$10K NFL / EPL Cross-Sport Survivor Final,$60k,108.46,,772,1500,Tournament,0,4,https://www.fanduel.com/entry/DBZKSRBZG
S1113959563,nfl,12/18/16,$10K NFL / EPL Cross-Sport Survivor Final,$60k,126.02,,223,1500,Tournament,0,6,https://www.fanduel.com/entry/DBLNFZQBK
S1113959567,nfl,12/18/16,$10K NFL / EPL Cross-Sport Survivor Final,$60k,72.04,,1469,1500,Tournament,0,4,https://www.fanduel.com/entry/CWQJVYMUU
S1113900462,nba,12/16/16,Keep the streak alive,$60k,295.3,,1,4,4 player league,5,18,https://www.fanduel.com/entry/CXSERVXXT
S1113812773,nfl,12/18/16,$25K Sun NFL Snap ($25K Guaranteed_ Late Sun-Mon),$60k,91,,13242,14705,Tournament,2,0,https://www.fanduel.com/entry/ECEQNHZKP
S1113812088,nfl,12/19/16,$1k Mon NFL Mini Squib (Single Entry),$60k,92.5,,724,1176,Tournament,1,0,https://www.fanduel.com/entry/CFNLEXXRR
S1113776866,nba,12/16/16,$20K Fri NBA Block (Single Entry),$60k,295.3,,793,11087,Tournament,2,6,https://www.fanduel.com/entry/BSDWTMVOP
S1113776830,nba,12/16/16,$30K Fri NBA Swat (3 Entries Max),$60k,295.3,,2544,35294,Tournament,1,2.5,https://www.fanduel.com/entry/BWLCQWMXJ
S1113776826,nba,12/16/16,$30K Fri NBA Swat (3 Entries Max),$60k,276.5,,8754,35294,Tournament,1,0,https://www.fanduel.com/entry/ECERHVEUP
S1113776824,nba,12/16/16,$30K Fri NBA Swat (3 Entries Max),$60k,224.5,,32885,35294,Tournament,1,0,https://www.fanduel.com/entry/CWCMBJYVF
S1113776755,nba,12/16/16,$30K Fri NBA Dribbler (Single Entry),$60k,295.3,,2212,31769,Tournament,1,2.5,https://www.fanduel.com/entry/EJRIDFPQL
S1113762781,nfl,12/18/16,NFL Week 15 RAFFduel ,$60k,92.3,,20,20,20 player league,10,0,https://www.fanduel.com/entry/AEPAZVSSL
S1113691248,nfl,12/15/16,100-Player Contest ($10 - Top 12 Win),$60k,91.9,,83,100,Tournament,10,0,https://www.fanduel.com/entry/CDXTTDXEM
S1113677385,nfl,12/15/16,50/50 Contest ($10 - Top 50% Win) (Thu-Mon),$60k,91.9,,92,100,Tournament,10,0,https://www.fanduel.com/entry/APHBPDWFX
S1113468183,nba,12/15/16,50/50 Contest ($10 - Top 50% Win) (Main),$60k,248.8,,90,100,Tournament,10,0,https://www.fanduel.com/entry/AZLGHVBBO
S1113048854,nfl,12/18/16,Winner takes all,$60k,126.34,,1,7,7 player league,5,31.5,https://www.fanduel.com/entry/BXMXUQZXI
S1113038464,nba,12/15/16,2 in a row for??,$60k,272.2,,3,4,4 player league,5,0,https://www.fanduel.com/entry/CCVYSNKQS
S1112775741,nfl,12/18/16,My Loser Friends (NFL Week 15),$60k,112.22,,5,9,9 player league,5,0,https://www.fanduel.com/entry/AXHQZEVLM
S1112766839,nba,12/15/16,$20K Thu NBA Block (Single Entry),$60k,248.8,,8944,11764,Tournament,2,0,https://www.fanduel.com/entry/CQTLOZVQS
S1112766796,nba,12/15/16,$30K Thu NBA Swat (3 Entries Max),$60k,299,,3588,35294,Tournament,1,2,https://www.fanduel.com/entry/CVOOZIKUO
S1112766785,nba,12/15/16,$30K Thu NBA Swat (3 Entries Max),$60k,284.7,,8730,35294,Tournament,1,0,https://www.fanduel.com/entry/DPJAAICRM
S1112766773,nba,12/15/16,$30K Thu NBA Swat (3 Entries Max),$60k,272.2,,14905,35294,Tournament,1,0,https://www.fanduel.com/entry/DMRMOYVCG
S1112766598,nba,12/15/16,$30K Thu NBA Dribbler (Single Entry),$60k,248.8,,26243,35294,Tournament,1,0,https://www.fanduel.com/entry/FDZRAXTNY
S1112763713,nfl,12/15/16,$1k Thu NFL Mini Squib (Single Entry),$60k,57.3,,1171,1176,Tournament,1,0,https://www.fanduel.com/entry/EIBOWZMFV
S1112752230,epl,12/17/16,$3K EPL Oakheart Free Play ,$60k,173.5,,9149,49891,Tournament,0,0,https://www.fanduel.com/entry/CSXALHJWH
S1112734627,nfl,12/18/16,NFL Head-to-head (Main),$60k,112.22,106.44,1,2,zachariathegreat,10,18,https://www.fanduel.com/entry/EBQTMVLUT
S1112325645,epl,12/14/16,EPL Head-to-head (Wednesday),$60k,160.75,131,1,2,nwalker2,5,9,https://www.fanduel.com/entry/DSANBMRBH
S1112074153,nba,12/14/16,Gary is clearly upset,$60k,229.8,,4,4,4 player league,5,0,https://www.fanduel.com/entry/EABBIDGIR
S1111841669,nba,12/14/16,$30K Wed NBA Swat (3 Entries Max),$60k,231.2,,28949,35294,Tournament,1,0,https://www.fanduel.com/entry/DKNVJWHMJ
S1111841644,nba,12/14/16,$30K Wed NBA Swat (3 Entries Max),$60k,268.4,,10299,35294,Tournament,1,0,https://www.fanduel.com/entry/CCVXRDFWF
S1111841623,nba,12/14/16,$30K Wed NBA Swat (3 Entries Max),$60k,189.1,,34861,35294,Tournament,1,0,https://www.fanduel.com/entry/BDEOHIKRL
S1111841577,nba,12/14/16,$20K Wed NBA Block (Single Entry),$60k,229.8,,10050,11764,Tournament,2,0,https://www.fanduel.com/entry/DTCHEPQDX
S1111841495,nba,12/14/16,$30K Wed NBA Dribbler (Single Entry),$60k,229.8,,29479,35294,Tournament,1,0,https://www.fanduel.com/entry/CUMSTSNYZ
S1111445729,epl,12/17/16,$1K Sat EPL Bicycle Kick (Single Entry),$60k,164.25,,59,117,Tournament,10,0,https://www.fanduel.com/entry/FAGHLGDQP
S1111445461,epl,12/17/16,$2K Sat EPL Corner Kick (Single Entry),$60k,158.75,,630,1176,Tournament,2,0,https://www.fanduel.com/entry/DJMAQKGLV
S1111445190,epl,12/17/16,$2K Sat EPL Equalizer (Single Entry),$60k,155.75,,1322,2352,Tournament,1,0,https://www.fanduel.com/entry/CPDSDIALN
S1111444459,epl,12/14/16,$77 Wed EPL Slide Tackle,$60k,160.75,,7,13,Tournament,7,0,https://www.fanduel.com/entry/BFIEMXFUH
S1111444397,epl,12/14/16,$250 Wed EPL Cross ($250 Guaranteed),$60k,176,,102,294,Tournament,1,0,https://www.fanduel.com/entry/AAVRSQCNB
S1111443862,epl,12/13/16,$100 Tue EPL Sweeper,$60k,79.25,,37,39,Tournament,3,0,https://www.fanduel.com/entry/BQAGGEREP
S1111259630,nfl,12/18/16,Dez Bryant is a disgrace,$60k,109.6,,13,20,20 player league,10,0,https://www.fanduel.com/entry/CZVUWVVCV
S1111252396,nba,12/13/16,?? back on top,$60k,287.7,,2,4,4 player league,5,0,https://www.fanduel.com/entry/DQKTTCPQK
S1111054453,nba,12/13/16,$25K Tue NBA Block (Single Entry),$60k,287.7,,4778,14705,Tournament,2,0,https://www.fanduel.com/entry/CGPGCVNXP
S1111054410,nba,12/13/16,$30K Tue NBA Swat (3 Entries Max),$60k,214.8,,34100,35294,Tournament,1,0,https://www.fanduel.com/entry/AHGNIJNWJ
S1111054403,nba,12/13/16,$30K Tue NBA Swat (3 Entries Max),$60k,230.9,,31943,35294,Tournament,1,0,https://www.fanduel.com/entry/DDPCBSGIZ
S1111054394,nba,12/13/16,$30K Tue NBA Swat (3 Entries Max),$60k,269.3,,19523,35294,Tournament,1,0,https://www.fanduel.com/entry/CMMEMFOZX
S1111054243,nba,12/13/16,$30K Tue NBA Dribbler (Single Entry),$60k,287.7,,11829,35294,Tournament,1,0,https://www.fanduel.com/entry/AVDZZZEQZ
S1111046136,nfl,12/18/16,$25K Sun NFL Snap ($25K Guaranteed_ Sun-Mon),$60k,109.6,,6807,14705,Tournament,2,0,https://www.fanduel.com/entry/FGDFYQPGJ
S1111046125,nfl,12/18/16,$25K Sun NFL Snap ($25K Guaranteed_ Sun-Mon),$60k,93.1,,11935,14705,Tournament,2,0,https://www.fanduel.com/entry/APUZHSEVP
